name,Run,LibraryName,BioSample,SampleName,Compartment,Spartina,Depth,Location,Year,Eh,pH,Salinity
"Georgia Salt Marshes",SRR12995386,Spartina129,SAMN16678340,Sapelo2019_Rhizosphere_T3_P3_5-10_b,Rhizosphere,Short,10-05,Sapelo,2019,-388.5,6.6,27.63
"Georgia Salt Marshes",SRR12995380,Spartina134,SAMN16678345,Sapelo2019_Rhizosphere_T4_P1_0-5,Rhizosphere,Tall,0-5,Sapelo,2019,86,6.9,29.29
"Georgia Salt Marshes",SRR12995381,Spartina133,SAMN16678344,Sapelo2019_Rhizosphere_T4_P1_5-10,Rhizosphere,Tall,10-05,Sapelo,2019,42,6.4,25.43
"Georgia Salt Marshes",SRR12995378,Spartina136,SAMN16678347,Sapelo2019_Rhizosphere_T4_P2_0-5,Rhizosphere,Medium,0-5,Sapelo,2019,-297.5,6.6,29.02
"Georgia Salt Marshes",SRR12995379,Spartina135,SAMN16678346,Sapelo2019_Rhizosphere_T4_P2_5-10,Rhizosphere,Medium,10-05,Sapelo,2019,-395.5,6.5,25.69
"Georgia Salt Marshes",SRR12995376,Spartina138,SAMN16678349,Sapelo2019_Rhizosphere_T4_P3_0-5,Rhizosphere,Short,0-5,Sapelo,2019,-334,6.9,28.95
"Georgia Salt Marshes",SRR12995377,Spartina137,SAMN16678348,Sapelo2019_Rhizosphere_T4_P3_5-10,Rhizosphere,Short,10-05,Sapelo,2019,-361,6.3,26.78
"Georgia Salt Marshes",SRR12995415,Spartina102,SAMN16678313,Sapelo2019_Endosphere_T3_P2_0-5,Root,Medium,0-5,Sapelo,2019,-68,6.9,23.55
"Georgia Salt Marshes",SRR12995412,Spartina105,SAMN16678316,Sapelo2019_Endosphere_T3_P3_0-5_b,Root,Short,0-5,Sapelo,2019,-371,6.9,28.44
"Georgia Salt Marshes",SRR12995413,Spartina104,SAMN16678315,Sapelo2019_Endosphere_T3_P3_5-10,Root,Short,10-05,Sapelo,2019,-388.5,6.6,27.63
"Georgia Salt Marshes",SRR12995414,Spartina103,SAMN16678314,Sapelo2019_Endosphere_T3_P3_5-10_b,Root,Short,10-05,Sapelo,2019,-388.5,6.6,27.63
