Name,Run,BioSample,SampleName,Lagoon,Date,Year,"Available data","Water height (cm)","Salinity (%, w/v)","Conductivity (mS/cm)","Temperature (°C)",pH,"Redox (mV)","DO (mg/L)"
"Monegros Desert, Spain",SRR8243206,SAMN10462435,MON_117,Piñol,2014-01-22,2014,Bacteria,10,4.1,49,9,8.3,272,11.8
"Monegros Desert, Spain",SRR8243207,SAMN10462436,MON_118,Muerte,2014-01-22,2014,Both,3,5.9,71.1,9.7,8.3,275,11.3
"Monegros Desert, Spain",SRR8243208,SAMN10462437,MON_119,Camaron,2014-01-22,2014,Both,3,4.6,59.2,11.4,8.3,270,10.8
"Monegros Desert, Spain",SRR8243192,SAMN10462330,MON_12,Playa,2012-11-13,2012,Both,10,2.1,26.3,14.4,8.8,306,12
"Monegros Desert, Spain",SRR8243209,SAMN10462438,MON_120,Rollico,2014-01-23,2014,Both,6,2.1,28.7,11.3,8,290,10.6
"Monegros Desert, Spain",SRR8243294,SAMN10462439,MON_122,Pez,2014-01-23,2014,Both,6,2.9,35,11.5,8,300,10.5
"Monegros Desert, Spain",SRR8243293,SAMN10462440,MON_123,"Amarga Baja",2014-01-23,2014,Both,2,1.1,10.3,8,8,244,11.6
"Monegros Desert, Spain",SRR8243296,SAMN10462441,MON_124,"Amarga Alta",2014-01-23,2014,Bacteria,8,1,8.7,8.5,8,248,11.8
"Monegros Desert, Spain",SRR8243295,SAMN10462442,MON_125,Pito,2014-01-23,2014,Both,8,2.8,34.5,11.2,8,304,10.8
"Monegros Desert, Spain",SRR8243298,SAMN10462443,MON_126,Playa,2014-01-22,2014,Both,30,6.6,86.4,10.8,8.6,285,11.5
"Monegros Desert, Spain",SRR8243297,SAMN10462444,MON_127,Salineta,2014-01-23,2014,Both,15,11.2,105.2,12.2,8.8,278,11.1
"Monegros Desert, Spain",SRR8243300,SAMN10462445,MON_128,"Balsa Molinos",2014-01-22,2014,Bacteria,40,0.3,0.7,8,9.1,240,12.1
"Monegros Desert, Spain",SRR8243299,SAMN10462446,MON_129,Camaron,2014-03-14,2014,Both,1,15.4,164.7,10,8,242,9.7
"Monegros Desert, Spain",SRR8243193,SAMN10462331,MON_13,Salineta,2012-11-13,2012,Both,13,6.9,66.3,13.1,9.2,278,10.6
"Monegros Desert, Spain",SRR8243292,SAMN10462447,MON_130,Playa,2014-03-14,2014,Both,25,11.5,134.9,10,8.4,215,9.9
"Monegros Desert, Spain",SRR8243291,SAMN10462448,MON_131,Salineta,2014-03-14,2014,Both,10,24.2,167.9,10,8,235,10.7
"Monegros Desert, Spain",SRR8243275,SAMN10462449,MON_133,Playa,2014-04-30,2014,Both,20,21,194.5,25,8,215,10.1
"Monegros Desert, Spain",SRR8243276,SAMN10462450,MON_134,Salineta,2014-04-30,2014,Both,1,37,129.3,24,7.8,235,7.8
"Monegros Desert, Spain",SRR8243273,SAMN10462451,MON_135,"Balsa Molinos",2014-04-30,2014,Eukarya,30,0.1,0.8,21,8.8,200,10.7
"Monegros Desert, Spain",SRR8243274,SAMN10462452,MON_136,Guallar,2014-04-22,2014,Both,10,3.95,42,7.9,8.35,145.5,10.65
"Monegros Desert, Spain",SRR8243279,SAMN10462453,MON_137,Piñol,2014-04-22,2014,Both,8,2.9,31.4,8.1,8.39,187.1,11.9
