name,Run,BioSample,SampleName,Station,Environment,Date,Season,Year,"Redox (mV)","O2 (%)","Water depth at sampling (low tide)",Salinity
"Bay of Biscay",ERR3711577,SAMEA6356534,EOI10_Wi2017,EOI10,Estuarine,2017-02-03,Winter,2017,-64,86.8,11,35
"Bay of Biscay",ERR3711579,SAMEA6356535,EOI10_Wi2018,EOI10,Estuarine,2018-02-09,Winter,2018,-45,95.6,13,33.5
"Bay of Biscay",ERR3711581,SAMEA6356536,EOI10_Wi2019,EOI10,Estuarine,2019-02-07,Winter,2019,-122,86.35,9,34.3
"Bay of Biscay",ERR3711582,SAMEA6356537,EOI15_Su2017,EOI15,Estuarine,2017-08-24,Summer,2017,-202,81.6,6,35.2
"Bay of Biscay",ERR3711584,SAMEA6356538,EOI15_Su2018,EOI15,Estuarine,2018-08-28,Summer,2018,-182,87.5,7,34.6
"Bay of Biscay",ERR3711585,SAMEA6356539,EOI15_Wi2013,EOI15,Estuarine,2013-02-08,Winter,2013,35,85.4,7.5,20.1
"Bay of Biscay",ERR3711586,SAMEA6356540,EOI15_Wi2015,EOI15,Estuarine,2015-02-13,Winter,2015,NA,74,8,35
"Bay of Biscay",ERR3711587,SAMEA6356541,EOI15_Wi2016,EOI15,Estuarine,2016-01-15,Winter,2016,-175,88.1,7.5,35.1
"Bay of Biscay",ERR3711588,SAMEA6356542,EOI15_Wi2017,EOI15,Estuarine,2017-02-03,Winter,2017,144,94.8,8,34.5
"Bay of Biscay",ERR3711590,SAMEA6356543,EOI15_Wi2018,EOI15,Estuarine,2018-02-09,Winter,2018,-59,86.3,7,34.5
"Bay of Biscay",ERR3711591,SAMEA6356544,EOI15_Wi2019,EOI15,Estuarine,2019-02-07,Winter,2019,-79,77.15,7,35.1
"Bay of Biscay",ERR3711592,SAMEA6356545,EOI20_Su2017,EOI20,Estuarine,2017-08-24,Summer,2017,-153,94.6,8,35.2
"Bay of Biscay",ERR3711594,SAMEA6356546,EOI20_Su2018,EOI20,Estuarine,2018-08-28,Summer,2018,37,100.6,11.5,35
"Bay of Biscay",ERR3711596,SAMEA6356547,EOI20_Wi2013,EOI20,Estuarine,2013-02-08,Winter,2013,150,100,12.5,34
"Bay of Biscay",ERR3711598,SAMEA6356548,EOI20_Wi2015,EOI20,Estuarine,2015-02-13,Winter,2015,NA,97,12,35.1
"Bay of Biscay",ERR3711599,SAMEA6356549,EOI20_Wi2016,EOI20,Estuarine,2016-01-15,Winter,2016,-153,100.3,11.5,35.3
"Bay of Biscay",ERR3711600,SAMEA6356550,EOI20_Wi2017,EOI20,Estuarine,2017-02-03,Winter,2017,-174,95.2,13,35.1
"Bay of Biscay",ERR3711601,SAMEA6356551,EOI20_Wi2018,EOI20,Estuarine,2018-02-09,Winter,2018,15,96.1,11,35
"Bay of Biscay",ERR3711602,SAMEA6356552,EOI20_Wi2019,EOI20,Estuarine,2019-02-07,Winter,2019,-123,95.3,11,34.6
"Bay of Biscay",ERR3711603,SAMEA6356553,EOK05_Su2017,EOK05,Estuarine,2017-08-24,Summer,2017,-33,38.8,0,24.3
"Bay of Biscay",ERR3711605,SAMEA6356554,EOK05_Su2018,EOK05,Estuarine,2018-08-21,Summer,2018,-89,33.6,0,11.3
"Bay of Biscay",ERR3711606,SAMEA6356555,EOK05_Wi2013,EOK05,Estuarine,2013-01-28,Winter,2013,97,101.5,0,21.4
"Bay of Biscay",ERR3711607,SAMEA6356556,EOK05_Wi2015,EOK05,Estuarine,2015-02-09,Winter,2015,-50,95.4,0,0.21
