Run,spots,passed_read_filter,inputfile,input_sequences,scrubbed_sequences,passed_sequences,dereplicated_sequences,screened_sequences,rRNA_sequences,not_rRNA_sequences,coding_sequences,protein_length
SRR5950570,14309278,14309278,/home/ARAST/work/SRR5950570_pass_1.fastq,14309278,14252495,14250881,7912684,7912482,33168,7879314,7005329,31.871324672974
SRR5950607,18035340,18035340,/home/ARAST/work/SRR5950607_pass_1.fastq,18035340,17993940,17992395,9604791,9604667,27646,9577021,8565357,31.898019428729
SRR5950642,8460820,8460820,/home/ARAST/work/SRR5950642_pass_1.fastq,8460820,8441018,8440482,6681859,6681791,28444,6653347,5963505,31.8329051455478
SRR5950635,16964566,16964566,/home/ARAST/work/SRR5950635_pass_1.fastq,16964566,16964566,16964490,9964548,9964421,35744,9928677,8831781,31.8484465364347
SRR5950637,11020095,11020095,/home/ARAST/work/SRR5950637_pass_1.fastq,11020095,10923465,10897987,7712819,7712466,30921,7681545,6539759,31.4945783170297
SRR5950650,7888925,7888925,/home/ARAST/work/SRR5950650_pass_1.fastq,7888925,7888925,7888890,5495938,5495845,20940,5474905,4842649,31.8084767242061
SRR5950666,7226121,7226121,/home/ARAST/work/SRR5950666_pass_1.fastq,7226121,7125942,7099853,5180998,5180717,26437,5154280,4247683,31.2478056860646
SRR5950646,10527352,10527352,/home/ARAST/work/SRR5950646_pass_1.fastq,10527352,10392294,10345360,6603433,6603337,26599,6576738,5216402,31.0839831746096
SRR5950671,5824228,5824228,/home/ARAST/work/SRR5950671_pass_1.fastq,5824228,5790155,5770177,4594033,4584285,28587,4555698,3615887,30.9874600616667
SRR5950657,14850084,14850084,/home/ARAST/work/SRR5950657_pass_1.fastq,14850084,14668160,14631229,8157265,8157208,33266,8123942,6868088,31.4525014822175
SRR5950647,213433,213433,/home/ARAST/work/SRR5950647_pass_1.fastq,213433,212280,211923,160721,101440,911,100529,77339,30.7032027825547
SRR5950652,8578614,8578614,/home/ARAST/work/SRR5950652_pass_1.fastq,8578614,8482051,8460145,5128616,5128593,33134,5095459,4032771,31.1169825908786
SRR5950651,10298329,10298329,/home/ARAST/work/SRR5950651_pass_1.fastq,10298329,10207555,10195562,5885216,5881928,24838,5857090,4978834,31.5245037291864
SRR5950664,7273535,7273535,/home/ARAST/work/SRR5950664_pass_1.fastq,7273535,7182755,7155635,5400853,5400568,25024,5375544,4439739,31.2196374606705
SRR5950641,8443025,8443025,/home/ARAST/work/SRR5950641_pass_1.fastq,8443025,8423454,8422631,5836786,5823559,24242,5799317,5083303,31.7441923096066
SRR5950631,990972,990972,/home/ARAST/work/SRR5950631_pass_1.fastq,990972,989203,989096,425514,404520,3845,400675,332115,31.4803215753579
SRR5950661,10508607,10508607,/home/ARAST/work/SRR5950661_pass_1.fastq,10508607,10508607,10508458,6856169,6854652,28056,6826596,5903367,31.6546123593536
SRR5950663,7792178,7792178,/home/ARAST/work/SRR5950663_pass_1.fastq,7792178,7769220,7768394,5205654,5203514,26596,5176918,4459345,31.631893921641
