ID,available_spots,passed_read_filter,inputfile,input_sequences,scrubbed_sequences,passed_sequences,dereplicated_sequences,screened_sequences,rRNA_sequences,not_rRNA_sequences,coding_sequences,protein_length
SRR061557,27414766,27406858,/home/ARAST/work/SRR061557_pass_1.fastq,27406858,27406858,26468007,23843756,23843277,103424,23739853,21183938,31.2161490465087
SRR061910,36522515,3837568,/home/ARAST/work/SRR061910_pass_1.fastq,3837568,3837568,3106779,2353066,1476074,13806,1462268,1200693,30.6960405365901
SRR061940,36373505,21908714,/home/ARAST/work/SRR061940_pass_1.fastq,21908714,21908714,19710091,16009586,15623962,81128,15542834,12619000,30.5016694666772
SRR061960,35400204,4206276,/home/ARAST/work/SRR061960_pass_1.fastq,4206276,4206276,3300252,2559135,1747078,16830,1730248,1336716,30.1576797165591
SRR061964,39774422,2770823,/home/ARAST/work/SRR061964_pass_1.fastq,2770823,2770823,2117834,1296988,335208,5005,330203,241429,30.471285553931
SRR061968,34662465,25610629,/home/ARAST/work/SRR061968_pass_1.fastq,25610629,25610629,24000876,21024490,20894438,112309,20782129,17676311,31.0012056248614
SRR062004,39168120,24750061,/home/ARAST/work/SRR062004_pass_1.fastq,24750061,24750061,20493692,15525272,15221484,78299,15143185,12298076,30.5745776819073
SRR062010,37708709,4704704,/home/ARAST/work/SRR062010_pass_1.fastq,4704704,4704704,2807117,2375642,2355710,18393,2337317,1908120,30.6628472003857
SRR062040,36028688,5079237,/home/ARAST/work/SRR062040_pass_1.fastq,5079237,5079237,4899427,4541992,4519955,34225,4485730,3870881,30.8130020013532
SRR062063,27293474,2171310,/home/ARAST/work/SRR062063_pass_1.fastq,2171310,2171310,1572203,1183528,1165514,10319,1155195,1022456,31.3855637797617
SRR062091,26840939,11135676,/home/ARAST/work/SRR062091_pass_1.fastq,11135676,11135676,10456360,6102715,5648646,24787,5623859,4737546,30.8573176914799
SRR062356,27657858,20789347,/home/ARAST/work/SRR062356_pass_1.fastq,20789347,20789347,18932427,16834520,16636650,95855,16540795,13221604,30.1551580277249
SRR062364,31374420,5787919,/home/ARAST/work/SRR062364_pass_1.fastq,5787919,5787919,4366410,2638156,1971104,18187,1952917,1711855,31.3421025729399
SRR062386,23866957,23860743,/home/ARAST/work/SRR062386_pass_1.fastq,23860743,23860743,23143641,11118688,11118276,50126,11068150,9561532,30.9018910358717
