old,new,source
Q5XG83,P08727,CVJ+15
A4QPC1,P02538,CVJ+15
Q6GMY0,P05787,CVJ+15
Q9UD66,P18428,CVJ+15
Q3LRT2,Q05469,CVJ+15
Q9UKC1,Q8WWI1,CVJ+15
Q3KQS8,Q15691,CVJ+15
Q99859,Q14566,CVJ+15
A8K247,Q6UX53,CVJ+15
A8KAJ1,P55083,CVJ+15
Q7Z5Z4,O14950,CVJ+15
Q4LE56,O00159,CVJ+15
P18135,P01619,CVJ+15
Q8WW95,P43490,CVJ+15
Q9BVJ3,P54920,CVJ+15
Q86XQ2,P15531,CVJ+15
Q9UNK5,P20774,CVJ+15
Q69AX9,Q9NRN5,CVJ+15
Q16813,P05166,CVJ+15
B2R9E1,Q15113,CVJ+15
Q8N3W4,P16298,CVJ+15
O00665,Q92733,CVJ+15
Q96BU9,P14314,CVJ+15
Q13327,P78527,CVJ+15
B3KMB5,Q53H96,CVJ+15
P24410,P62491,CVJ+15
P24410,P62492,CVJ+15
P24410,P62493,CVJ+15
P24410,P62494,CVJ+15
P24410,P62490,CVJ+15
A8K982,P61020,CVJ+15
Q9P0Y5,P51148,CVJ+15
Q9UEU9,P62826,CVJ+15
Q9UEU9,P62827,CVJ+15
Q9UEU9,P62828,CVJ+15
Q9UEU9,P62825,CVJ+15
Q6LES0,P61224,CVJ+15
Q6FIB9,Q9Y230,CVJ+15
Q5VTK0,P31949,CVJ+15
Q9UCJ0,P05109,CVJ+15
B2R6Y9,P49591,CVJ+15
Q9ULN4,O76054,CVJ+15
Q53XB5,P29622,CVJ+15
B2RAI1,P05546,CVJ+15
Q5VXV1,Q01105,CVJ+15
Q16682,Q00796,CVJ+15
Q15445,Q13188,CVJ+15
Q59E99,P07996,CVJ+15
Q96GZ4,Q9GZM7,CVJ+15
Q14583,P24821,CVJ+15
Q08AM0,P22105,CVJ+15
Q9UCI1,P09493,CVJ+15
Q27I68,P68363,CVJ+15
B2R6R8,Q16222,CVJ+15
B2RTX1,P51784,CVJ+15
Q9Y5B5,Q9Y4E8,CVJ+15
Q0Z7V0,P13010,CVJ+15
B1AHC8,P12956,CVJ+15
Q8WUT5,Q96BS4,CVJ+15
Q5VU59,Q5HYB6,CVJ+15
Q9Y4J9,Q9Y4F3,AMG+08
Q9Y3S6,Q6P4F7,AMG+08
Q4ZG30,Q8NHH9,AMG+08
Q5TIG6,P55196,AMG+08
Q5T233,Q76NI1,AMG+08
Q96P79,Q12802,AMG+08
Q658L9,A1A5D9,AMG+08
Q5TA39,Q9BRK3,AMG+08
Q8N7Y5,Q3KQZ1,AMG+08
Q8NG46,O14746,AMG+08
Q92815,Q8NCM8,AMG+08
Q5HY53,P21333,AMG+08
Q96IW3,O75147,AMG+08
Q7Z3Q0,Q6KB66,AMG+08
Q5CAQ7,P07900,AMG+08
Q14664,P13645,AMG+08
Q96JI4,Q8N2C7,AMG+08
Q6ZU14,Q5CZC0,AMG+08
P20769,P01871,AMG+08
Q68DG2,Q9P2P6,AMG+08
Q96JH8-4,Q96JH8,FKZ+15
P10070-5,P10070,FKZ+15
