taxid	lineage	name	rank	SRR15720303	SRR15720304	SRR15720305	SRR15720306	SRR15720307	SRR15720308	SRR15720309	SRR15720310	SRR15720311	SRR15720312	SRR15720313	SRR15720314	SRR15720315	SRR15720316	SRR15720317	SRR15720318	SRR15720319	SRR15720320	SRR15720321	SRR15720322
3339	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Burkholderiales;order;Burkholderiaceae;family;Lautropia;genus;	Lautropia	genus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1177	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Burkholderiales;order;Alcaligenaceae;family;	Alcaligenaceae	family	0	67	0	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
1178	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Burkholderiales;order;Alcaligenaceae;family;Achromobacter;genus;	Achromobacter	genus	0	53	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
1192	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Burkholderiales;order;Alcaligenaceae;family;Pusillimonas;genus;	Pusillimonas	genus	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1178	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Burkholderiales;order;Alcaligenaceae;family;unclassified_Alcaligenaceae;;	unclassified_Alcaligenaceae		0	12	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1191	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Burkholderiales;order;Alcaligenaceae;family;Pigmentiphaga;genus;	Pigmentiphaga	genus	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1240	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Burkholderiales;order;Oxalobacteraceae;family;	Oxalobacteraceae	family	0	1	21	3	110	12	105	0	7	0	4	0	10	0	0	6	36	348	0	0
1246	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Burkholderiales;order;Oxalobacteraceae;family;Massilia;genus;	Massilia	genus	0	1	0	3	38	10	97	0	2	0	4	0	3	0	0	0	0	126	0	0
1243	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Burkholderiales;order;Oxalobacteraceae;family;Herbaspirillum;genus;	Herbaspirillum	genus	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1244	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Burkholderiales;order;Oxalobacteraceae;family;Herminiimonas;genus;	Herminiimonas	genus	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1251	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Burkholderiales;order;Oxalobacteraceae;family;Undibacterium;genus;	Undibacterium	genus	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1242	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Burkholderiales;order;Oxalobacteraceae;family;Duganella;genus;	Duganella	genus	0	0	0	0	55	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0
1245	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Burkholderiales;order;Oxalobacteraceae;family;Janthinobacterium;genus;	Janthinobacterium	genus	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2958	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Burkholderiales;order;Oxalobacteraceae;family;Noviherbaspirillum;genus;	Noviherbaspirillum	genus	0	0	0	0	7	1	6	0	0	0	0	0	0	0	0	0	0	214	0	0
-1241	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Burkholderiales;order;Oxalobacteraceae;family;unclassified_Oxalobacteraceae;;	unclassified_Oxalobacteraceae		0	0	0	0	5	0	2	0	5	0	0	0	0	0	0	6	36	7	0	0
-1177	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Burkholderiales;order;unclassified_Burkholderiales;;	unclassified_Burkholderiales		0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	3	1	0	0
1330	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Rhodocyclales;order;	Rhodocyclales	order	0	7	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	0	0
-1331	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Rhodocyclales;order;unclassified_Rhodocyclales;;	unclassified_Rhodocyclales		0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3521	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Rhodocyclales;order;Azonexaceae;family;	Azonexaceae	family	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
-3522	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Rhodocyclales;order;Azonexaceae;family;unclassified_Azonexaceae;;	unclassified_Azonexaceae		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1339	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Rhodocyclales;order;Azonexaceae;family;Ferribacterium;genus;	Ferribacterium	genus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3520	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Rhodocyclales;order;Zoogloeaceae;family;	Zoogloeaceae	family	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
4108	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Rhodocyclales;order;Zoogloeaceae;family;Aromatoleum;genus;	Aromatoleum	genus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1349	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Rhodocyclales;order;Zoogloeaceae;family;Thauera;genus;	Thauera	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1318	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;	Nitrosomonadales	order	0	14	0	0	0	17	0	0	0	1	1	0	0	0	0	0	0	0	0	1
3519	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;Sterolibacteriaceae;family;	Sterolibacteriaceae	family	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1341	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;Sterolibacteriaceae;family;Methyloversatilis;genus;	Methyloversatilis	genus	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1280	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;Methylophilaceae;family;	Methylophilaceae	family	0	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	0	0	0
-1281	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;Methylophilaceae;family;unclassified_Methylophilaceae;;	unclassified_Methylophilaceae		0	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	0	0	0
-1319	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;unclassified_Nitrosomonadales;;	unclassified_Nitrosomonadales		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3517	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;Thiobacillaceae;family;	Thiobacillaceae	family	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1278	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;Nitrosomonadales;order;Thiobacillaceae;family;Thiobacillus;genus;	Thiobacillus	genus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
-1176	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Betaproteobacteria;class;unclassified_Betaproteobacteria;;	unclassified_Betaproteobacteria		0	0	0	0	1	6	0	0	3	0	0	0	0	0	1	0	0	0	0	0
1352	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;	Deltaproteobacteria	class	22	11	0	65	48	33	1	21	45	21	6	17	120	1	24	22	81	0	23	6
1417	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfuromonadales;order;	Desulfuromonadales	order	11	1	0	2	0	0	0	0	0	0	1	0	0	0	1	4	8	0	0	2
1418	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfuromonadales;order;Desulfuromonadaceae;family;	Desulfuromonadaceae	family	11	0	0	2	0	0	0	0	0	0	1	0	0	0	1	4	5	0	0	2
1419	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfuromonadales;order;Desulfuromonadaceae;family;Desulfuromonas;genus;	Desulfuromonas	genus	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2
-1419	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfuromonadales;order;Desulfuromonadaceae;family;unclassified_Desulfuromonadaceae;;	unclassified_Desulfuromonadaceae		0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	3	3	0	0	0
1423	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfuromonadales;order;Geobacteraceae;family;	Geobacteraceae	family	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
-1424	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfuromonadales;order;Geobacteraceae;family;unclassified_Geobacteraceae;;	unclassified_Geobacteraceae		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1424	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfuromonadales;order;Geobacteraceae;family;Geoalkalibacter;genus;	Geoalkalibacter	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
1475	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Syntrophorhabdaceae;family;	Syntrophorhabdaceae	family	2	0	0	20	0	1	0	0	0	1	0	0	37	0	1	2	3	0	3	0
1476	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Syntrophorhabdaceae;family;Syntrophorhabdus;genus;	Syntrophorhabdus	genus	2	0	0	20	0	1	0	0	0	1	0	0	37	0	1	2	3	0	3	0
-1353	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;unclassified_Deltaproteobacteria;;	unclassified_Deltaproteobacteria		9	0	0	0	0	0	1	6	0	1	0	0	0	0	0	0	1	0	1	0
1429	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;	Myxococcales	order	0	3	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1430	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;Cystobacterineae;suborder;	Cystobacterineae	suborder	0	3	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1438	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;Cystobacterineae;suborder;Myxococcaceae;family;	Myxococcaceae	family	0	3	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1441	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;Cystobacterineae;suborder;Myxococcaceae;family;Myxococcus;genus;	Myxococcus	genus	0	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1440	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;Cystobacterineae;suborder;Myxococcaceae;family;Corallococcus;genus;	Corallococcus	genus	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1452	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;Sorangiineae;suborder;	Sorangiineae	suborder	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1453	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;Sorangiineae;suborder;unclassified_Sorangiineae;;	unclassified_Sorangiineae		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1430	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Myxococcales;order;unclassified_Myxococcales;;	unclassified_Myxococcales		0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1461	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Syntrophobacterales;order;	Syntrophobacterales	order	0	7	0	41	45	17	0	11	13	17	0	0	26	0	13	13	53	0	12	0
1462	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Syntrophobacterales;order;Syntrophaceae;family;	Syntrophaceae	family	0	7	0	38	45	15	0	11	13	14	0	0	26	0	13	13	53	0	12	0
-1463	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Syntrophobacterales;order;Syntrophaceae;family;unclassified_Syntrophaceae;;	unclassified_Syntrophaceae		0	7	0	16	9	13	0	3	1	0	0	0	26	0	9	5	5	0	2	0
1465	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Syntrophobacterales;order;Syntrophaceae;family;Smithella;genus;	Smithella	genus	0	0	0	22	36	2	0	7	12	14	0	0	0	0	4	8	48	0	6	0
1464	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Syntrophobacterales;order;Syntrophaceae;family;Desulfomonile;genus;	Desulfomonile	genus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0
1467	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Syntrophobacterales;order;Syntrophobacteraceae;family;	Syntrophobacteraceae	family	0	0	0	3	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0
1473	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Syntrophobacterales;order;Syntrophobacteraceae;family;Syntrophobacter;genus;	Syntrophobacter	genus	0	0	0	3	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0
1364	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfobacterales;order;	Desulfobacterales	order	0	0	0	2	1	4	0	1	0	2	4	7	13	1	9	3	9	0	1	0
1365	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfobacterales;order;Desulfobacteraceae;family;	Desulfobacteraceae	family	0	0	0	2	1	4	0	1	0	2	4	7	0	1	9	3	7	0	1	0
3011	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfobacterales;order;Desulfobacteraceae;family;Desulfatiglans;genus;	Desulfatiglans	genus	0	0	0	2	0	0	0	0	0	0	3	1	0	0	1	0	2	0	0	0
-1366	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfobacterales;order;Desulfobacteraceae;family;unclassified_Desulfobacteraceae;;	unclassified_Desulfobacteraceae		0	0	0	0	1	4	0	1	0	0	0	0	0	1	8	3	5	0	1	0
1384	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfobacterales;order;Desulfobacteraceae;family;Desulfotignum;genus;	Desulfotignum	genus	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0
2917	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfobacterales;order;Desulfobacteraceae;family;Desulfatitalea;genus;	Desulfatitalea	genus	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
1385	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfobacterales;order;Desulfobulbaceae;family;	Desulfobulbaceae	family	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	2	0	0	0
1386	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfobacterales;order;Desulfobulbaceae;family;Desulfobulbus;genus;	Desulfobulbus	genus	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	2	0	0	0
1353	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Bdellovibrionales;order;	Bdellovibrionales	order	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1357	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Bdellovibrionales;order;Bdellovibrionaceae;family;	Bdellovibrionaceae	family	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1358	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Bdellovibrionales;order;Bdellovibrionaceae;family;Bdellovibrio;genus;	Bdellovibrio	genus	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1395	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfovibrionales;order;	Desulfovibrionales	order	0	0	0	0	0	0	0	3	32	0	1	10	44	0	0	0	7	0	6	4
1407	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfovibrionales;order;Desulfovibrionaceae;family;	Desulfovibrionaceae	family	0	0	0	0	0	0	0	3	5	0	0	4	14	0	0	0	0	0	6	4
4168	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfovibrionales;order;Desulfovibrionaceae;family;Desulfohalovibrio;genus;	Desulfohalovibrio	genus	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	4	0
1411	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfovibrionales;order;Desulfovibrionaceae;family;Desulfovibrio;genus;	Desulfovibrio	genus	0	0	0	0	0	0	0	1	0	0	0	4	14	0	0	0	0	0	2	4
1405	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfovibrionales;order;Desulfonatronaceae;family;	Desulfonatronaceae	family	0	0	0	0	0	0	0	0	27	0	1	6	28	0	0	0	4	0	0	0
1406	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfovibrionales;order;Desulfonatronaceae;family;Desulfonatronum;genus;	Desulfonatronum	genus	0	0	0	0	0	0	0	0	27	0	1	6	28	0	0	0	4	0	0	0
1403	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfovibrionales;order;Desulfomicrobiaceae;family;	Desulfomicrobiaceae	family	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0
1404	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Deltaproteobacteria;class;Desulfovibrionales;order;Desulfomicrobiaceae;family;Desulfomicrobium;genus;	Desulfomicrobium	genus	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0
3515	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Hydrogenophilalia;class;	Hydrogenophilalia	class	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1272	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Hydrogenophilalia;class;Hydrogenophilales;order;	Hydrogenophilales	order	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1273	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Hydrogenophilalia;class;Hydrogenophilales;order;Hydrogenophilaceae;family;	Hydrogenophilaceae	family	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1274	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Hydrogenophilalia;class;Hydrogenophilales;order;Hydrogenophilaceae;family;Hydrogenophilus;genus;	Hydrogenophilus	genus	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
-842	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;unclassified_Proteobacteria;;	unclassified_Proteobacteria		76	16	4	34	3	14	0	6	0	0	0	0	0	0	1	0	0	0	5	0
3018	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Oligoflexia;class;	Oligoflexia	class	0	0	0	0	0	0	2	0	0	0	0	0	18	0	0	0	0	0	0	0
4372	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Oligoflexia;class;Bacteriovoracales;order;	Bacteriovoracales	order	0	0	0	0	0	0	2	0	0	0	0	0	18	0	0	0	0	0	0	0
1354	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Oligoflexia;class;Bacteriovoracales;order;Bacteriovoracaceae;family;	Bacteriovoracaceae	family	0	0	0	0	0	0	2	0	0	0	0	0	18	0	0	0	0	0	0	0
1356	Root;rootrank;Bacteria;domain;Proteobacteria;phylum;Oligoflexia;class;Bacteriovoracales;order;Bacteriovoracaceae;family;Peredibacter;genus;	Peredibacter	genus	0	0	0	0	0	0	2	0	0	0	0	0	18	0	0	0	0	0	0	0
2730	Root;rootrank;Bacteria;domain;Aminicenantes;phylum;	Aminicenantes	phylum	42	3	2	173	0	8	0	13	7	0	0	0	15	3	4	1	19	0	9	0
-2731	Root;rootrank;Bacteria;domain;Aminicenantes;phylum;unclassified_Aminicenantes;;	unclassified_Aminicenantes		42	3	2	172	0	8	0	13	7	0	0	0	15	3	4	1	19	0	9	0
4533	Root;rootrank;Bacteria;domain;Aminicenantes;phylum;Saccharicenantaceae;family;	Saccharicenantaceae	family	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4534	Root;rootrank;Bacteria;domain;Aminicenantes;phylum;Saccharicenantaceae;family;Saccharicenans;genus;	Saccharicenans	genus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2684	Root;rootrank;Bacteria;domain;Cyanobacteria/Chloroplast;phylum;	Cyanobacteria/Chloroplast	phylum	165	0	0	1	1	110	5	1	12	0	0	1	10	0	0	0	0	0	2	0
2713	Root;rootrank;Bacteria;domain;Cyanobacteria/Chloroplast;phylum;Chloroplast;class;	Chloroplast	class	165	0	0	1	0	96	4	0	12	0	0	1	10	0	0	0	0	0	2	0
2714	Root;rootrank;Bacteria;domain;Cyanobacteria/Chloroplast;phylum;Chloroplast;class;Chloroplast;family;	Chloroplast	family	165	0	0	1	0	96	4	0	12	0	0	1	10	0	0	0	0	0	2	0
2721	Root;rootrank;Bacteria;domain;Cyanobacteria/Chloroplast;phylum;Chloroplast;class;Chloroplast;family;Streptophyta;genus;	Streptophyta	genus	165	0	0	1	0	92	4	0	8	0	0	1	10	0	0	0	0	0	2	0
2715	Root;rootrank;Bacteria;domain;Cyanobacteria/Chloroplast;phylum;Chloroplast;class;Chloroplast;family;Bacillariophyta;genus;	Bacillariophyta	genus	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0
-2715	Root;rootrank;Bacteria;domain;Cyanobacteria/Chloroplast;phylum;Chloroplast;class;Chloroplast;family;unclassified_Chloroplast;;	unclassified_Chloroplast		0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2685	Root;rootrank;Bacteria;domain;Cyanobacteria/Chloroplast;phylum;Cyanobacteria;class;	Cyanobacteria	class	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2686	Root;rootrank;Bacteria;domain;Cyanobacteria/Chloroplast;phylum;Cyanobacteria;class;Family I;family;	Family I	family	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2687	Root;rootrank;Bacteria;domain;Cyanobacteria/Chloroplast;phylum;Cyanobacteria;class;Family I;family;unclassified_Family I;;	unclassified_Family I		0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2686	Root;rootrank;Bacteria;domain;Cyanobacteria/Chloroplast;phylum;Cyanobacteria;class;unclassified_Cyanobacteria;;	unclassified_Cyanobacteria		0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2685	Root;rootrank;Bacteria;domain;Cyanobacteria/Chloroplast;phylum;unclassified_Cyanobacteria/Chloroplast;;	unclassified_Cyanobacteria/Chloroplast		0	0	0	0	0	11	1	1	0	0	0	0	0	0	0	0	0	0	0	0
2	Root;rootrank;Bacteria;domain;Actinobacteria;phylum;	Actinobacteria	phylum	255	96	2	9	55	156	68	39	84	44	110	65	104	12	30	14	73	31	32	29
3	Root;rootrank;Bacteria;domain;Actinobacteria;phylum;Actinobacteria;class;	Actinobacteria	class	220	93	2	2	49	141	63	21	74	43	110	56	68	8	16	9	48	31	17	29
95	Root;rootrank;Bacteria;domain;Actinobacteria;phylum;Actinobacteria;class;Micrococcales;order;	Micrococcales	order	77	8	1	1	34	57	36	6	10	3	3	6	46	0	1	2	38	5	6	29
190	Root;rootrank;Bacteria;domain;Actinobacteria;phylum;Actinobacteria;class;Micrococcales;order;Micrococcaceae;family;	Micrococcaceae	family	66	0	0	1	17	50	35	5	5	2	0	1	46	0	1	0	3	5	5	29
199	Root;rootrank;Bacteria;domain;Actinobacteria;phylum;Actinobacteria;class;Micrococcales;order;Micrococcaceae;family;Rothia;genus;	Rothia	genus	36	0	0	0	0	18	27	2	3	2	0	0	2	0	0	0	1	0	4	0
195	Root;rootrank;Bacteria;domain;Actinobacteria;phylum;Actinobacteria;class;Micrococcales;order;Micrococcaceae;family;Kocuria;genus;	Kocuria	genus	6	0	0	0	0	3	0	1	1	0	0	0	25	0	0	0	0	0	1	0
196	Root;rootrank;Bacteria;domain;Actinobacteria;phylum;Actinobacteria;class;Micrococcales;order;Micrococcaceae;family;Micrococcus;genus;	Micrococcus	genus	24	0	0	1	0	21	3	0	1	0	0	1	18	0	0	0	0	0	0	0
3794	Root;rootrank;Bacteria;domain;Actinobacteria;phylum;Actinobacteria;class;Micrococcales;order;Micrococcaceae;family;Pseudarthrobacter;genus;	Pseudarthrobacter	genus	0	0	0	0	5	3	2	1	0	0	0	0	0	0	0	0	2	2	0	28
3796	Root;rootrank;Bacteria;domain;Actinobacteria;phylum;Actinobacteria;class;Micrococcales;order;Micrococcaceae;family;Paeniglutamicibacter;genus;	Paeniglutamicibacter	genus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3797	Root;rootrank;Bacteria;domain;Actinobacteria;phylum;Actinobacteria;class;Micrococcales;order;Micrococcaceae;family;Glutamicibacter;genus;	Glutamicibacter	genus	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-191	Root;rootrank;Bacteria;domain;Actinobacteria;phylum;Actinobacteria;class;Micrococcales;order;Micrococcaceae;family;unclassified_Micrococcaceae;;	unclassified_Micrococcaceae		0	0	0	0	7	3	1	0	0	0	0	0	1	0	0	0	0	0	0	1
