taxid	lineage	name	rank	SRR15720303	SRR15720304	SRR15720305	SRR15720306	SRR15720307	SRR15720308	SRR15720309	SRR15720310	SRR15720311	SRR15720312	SRR15720313	SRR15720314	SRR15720315	SRR15720316	SRR15720317	SRR15720318	SRR15720319	SRR15720320	SRR15720321	SRR15720322
2362	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Enterococcaceae;family;Enterococcus;genus;	Enterococcus	genus	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9
2334	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Aerococcaceae;family;	Aerococcaceae	family	0	0	0	0	0	0	0	0	1	0	0	0	284	0	2	1	0	0	0	0
2341	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Aerococcaceae;family;Aerococcus;genus;	Aerococcus	genus	0	0	0	0	0	0	0	0	1	0	0	0	284	0	2	1	0	0	0	0
2261	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;	Bacillales	order	330	60	1	27	11	2174	99	6	346	15	21	244	54	0	68	7	54	0	19	38
2320	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Staphylococcaceae;family;	Staphylococcaceae	family	241	1	1	22	10	2099	36	4	15	9	1	4	26	0	3	0	2	0	10	0
2322	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Staphylococcaceae;family;Staphylococcus;genus;	Staphylococcus	genus	241	1	1	22	10	2093	36	4	15	9	1	4	26	0	3	0	2	0	10	0
2324	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Staphylococcaceae;family;Jeotgalicoccus;genus;	Jeotgalicoccus	genus	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2290	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Bacillales_Incertae Sedis XI;family;	Bacillales_Incertae Sedis XI	family	76	2	0	1	0	12	60	0	2	0	0	0	3	0	0	0	0	0	4	0
2291	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Bacillales_Incertae Sedis XI;family;Gemella;genus;	Gemella	genus	76	2	0	1	0	12	60	0	2	0	0	0	3	0	0	0	0	0	4	0
2308	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Planococcaceae;family;	Planococcaceae	family	10	4	0	0	1	32	0	0	3	2	7	4	0	0	44	1	18	0	0	0
2312	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Planococcaceae;family;Planococcus;genus;	Planococcus	genus	8	2	0	0	0	28	0	0	0	0	2	2	0	0	37	1	15	0	0	0
-2309	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Planococcaceae;family;unclassified_Planococcaceae;;	unclassified_Planococcaceae		2	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0
2578	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Planococcaceae;family;Lysinibacillus;genus;	Lysinibacillus	genus	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2583	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Planococcaceae;family;Psychrobacillus;genus;	Psychrobacillus	genus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2904	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Planococcaceae;family;Chryseomicrobium;genus;	Chryseomicrobium	genus	0	0	0	0	0	1	0	0	3	2	5	2	0	0	4	0	3	0	0	0
