Entry,Log2.ratio.Adult.Embryo,X.log10.BH.corrected.p.value.Adult.vs.Embryo,log10.mRNA.adult,log10.mRNA.embryo
Q0KHY3,1.03,4,4.17,3.235
M9NGK3,3.6,10,2.119,2.292
Q960C7,2.07,10,3.226,2.599
Q9VZF6,1.13,12,2.395,1.425
Q9VUY4,3.08,3,-0.152,0.088
P13607,3.71,11,4.193,3.001
P16378,1.88,10,1.138,1.491
Q9XYZ9,1.78,11,5.394,3.136
Q8IMB9,1.75,12,2.835,1.68
Q9VJ31,0.9,3,3.123,1.873
P82147,2.43,8,4.787,4.351
Q9VA91,-1.25,7,6.007,6.126
Q86NM8,-0.14,0,3.121,2.088
Q9VKI8,0.26,2,3.722,1.908
X2JG23,-1.79,9,-0.085,1.037
Q9VHS8,0.52,1,2.908,4.288
M9MRF2,-1.35,8,5.189,6.6
Q9VL71,-1.11,6,2.508,4.086
P55841,-1.34,8,6.27,7.045
Q9VHC8,1.67,5,2.193,3.973
Q9VQR2,2.86,9,5.251,4.235
Q9U5W4,-1,5,3.196,4.419
P07190,4.17,8,7.135,3.051
Q9W4V8,1.96,4,2.47,2.936
M9PH59,-1.1,7,5.505,6.846
Q9VMV5,2.57,8,3.403,3.666
Q9V436,-1.74,8,3.335,4.26
U3Q053,-1.92,11,1.588,1.722
Q7JZV0,0.05,0,-2.769,6.384
Q8T0J5,-0.21,0,2.446,3.863
D1YSG0,3.65,12,2.916,2.117
D8FT24,1.33,3,3.244,1.701
Q9VL89,-1.78,9,3.535,3.717
Q4V5H1,2.56,6,0.888,1.657
Q9VQL7,4.04,11,5.438,3.876
Q9ME01,3.4,10,6.134,6.101
M9PD09,1.58,2,3.739,3.55
Q9VNE9,-1.21,12,5.74,7.128
Q7K180,-0.08,0,2.107,4.411
Q9Y148,1.32,2,2.205,3.418
Q9I7U4,3.45,12,3.157,1.458
Q9VPR1,0.97,8,4.437,2.556
M9PF16,1.29,6,3.699,3.853
Q9VI10,-1.61,11,3.194,3.86
Q9VJD1,-1.43,11,3.234,2.885
E1JJN1,-1.31,7,3.602,3.485
Q9VY76,1.97,11,2.857,1.483
Q9VKM3,2.44,4,5.321,4.923
O46231,1.61,10,3.614,2.619
Q9VV41,2.44,8,0.411,1.505
Q960D3,-1.49,6,4.096,3.709
P10981,6.62,11,6.819,5.011
E2QD75,4.04,2,1.521,3.246
Q9VRE0,-1.3,4,2.019,3.266
Q9VEY5,1.43,8,3.922,3.573
M9PC85,-1.46,5,1.665,4.089
Q9VN50,-1.48,10,4.479,5.001
Q9VP50,1.44,10,1.723,2.427
Q9VL31,2.28,4,1.952,3.043
Q9VZY0,-0.08,1,3.606,4.752
Q8MKK1,-1.81,5,3.002,2.963
Q24368,-0.76,3,1.817,3.4
P29746,-1.65,2,4.115,4.934
Q9V597,-1.36,10,6.236,6.957
Q9VI58,-1.11,6,2.191,2.964
I1V501,0.21,0,2.67,4.373
Q9VYG2,-1.51,4,1.855,3.467
A1ZBE9,-1.32,11,1.515,1.635
Q9I7L8,-1.85,10,1.12,1.681
Q8T0Q4,3.85,5,4.448,3.183
Q7KN97,2.08,12,4.6,2.758
H1UUD2,1.72,9,6.7,4.835
A4V441,-1.2,7,-0.035,2.06
Q9VKK1,-1.29,9,1.8,2.485
Q9W499,-1.38,10,5.445,6.595
Q9V7D2,1.04,11,5.351,4.221
M9PGA7,3.43,12,4.609,3.712
Q9VDK7,-1.08,9,2.731,2.129
M9PEY6,0.31,0,1.901,2.912
Q9W0Y1,-0.77,7,5.045,3.824
M9MRS7,1.75,7,3.232,2.766
Q9VT75,-1.8,7,2.607,3.286
Q7JW48,2.2,7,8.149,3.187
M9MRQ9,2.35,9,4.503,3.92
P42283,-1.35,7,2.29,3.032
Q9U9Q1,-1.72,9,0.433,2.871
A4V2I0,-0.37,0,-1.671,4.532
B7Z0L1,2.27,9,2.593,2.63
Q9VQ61,-0.36,3,4.224,2.934
Q9XYU1,-1.12,4,0.226,2.71
Q7K3M5,-1.1,11,1.785,3.467
Q9W2M2,2.76,12,4.488,2.331
Q9VSN9,-0.84,6,2.371,3.658
Q9VU39,1.21,9,3.599,2.881
Q9VM12,2.06,11,4.591,4.1
Q9W4X7,-1.34,8,4.631,4.225
P49735,-0.65,4,0.812,3.066
P18824,-0.27,1,3.27,4.711
Q05856,-0.39,3,2.467,4.064
Q5U156,-0.52,2,1.457,3.276
Q9VN86,0.21,2,3.57,1.629
P29310,1.07,11,4.679,4.242
Q9VKV1,1.44,5,5.328,3.086
Q8SZH5,-1.33,9,0.682,2.294
Q7KSW3,0.23,1,2.833,1.55
Q7KUA4,-2,15,2.123,3.335
Q8IGY0,1.92,5,4.168,2.783
Q7K2P3,4.16,6,5.028,3.296
Q9VE75,1.29,12,3.969,3.889
Q9VRP2,-1.71,9,3.673,3.993
Q95U34,2.94,12,3.42,1.589
Q9W125,2.98,9,3.127,3.424
X2JIQ5,-1.39,7,5.038,5.888
Q9W4P5,1.19,11,4.259,4.448
A1Z7H3,1.54,14,3.872,2.551
D1Z3A1,-1.5,11,5.848,5.739
P54385,1.55,12,5.415,4.584
Q9VYT3,-1.53,8,1.543,1.619
Q0KHQ6,0.2,0,3.415,2.117
D2NUK9,-0.87,7,2.464,5.016
Q24506,0.33,3,3.857,2.297
Q7K569,5.62,12,4.684,3.07
Q9VV31,-1.01,1,-0.113,4.215
P15278,-0.22,0,2.03,3.392
Q9V400,1.6,10,2.435,3.332
Q9I7R1,0.94,9,3.853,2.764
Q9VGQ1,1.2,10,4.229,3.514
Q540V5,0.85,2,2.181,4.027
Q24050,2.39,7,1.882,2.044
C0MJU0,0.59,1,0.592,1.943
Q9VCC2,0.8,4,2.228,3.586
Q9VYR1,3.07,13,3.687,2.88
Q9VVU6,-1.09,5,1.061,1.996
Q08012,0.21,1,2.199,3.561
Q9VMI3,2.13,7,4.835,3.674
Q9VXP4,-2.25,7,2.614,3.52
Q9VTH0,-0.47,1,2.088,3.683
Q9VZF9,-1.26,2,-1.738,3.784
Q9VA83,1.1,8,7.598,5.418
A8Y560,-1.3,7,5.406,6.8
Q7JV69,1.43,6,2.89,2.36
A4V4A1,-1.29,9,2.213,2.512
Q9VJ19,-1.44,9,5.153,6.305
E1JH02,-1.42,9,3.626,4.092
Q9VF51,1.55,10,3.042,0.9
Q9V3A7,-0.44,1,1.172,2.861
M9PE74,-1.23,2,2.619,2.728
Q9V3N7,1.79,11,1.384,2.168
Q9VBP6,1.45,9,2.593,1.954
B4F631,0.91,7,1.949,0.727
Q9VGF0,2.22,11,3.511,2.879
P00334,3.22,8,7.293,4.848
Q8T3V6,2.31,3,1.905,2.407
Q8MRM0,1.89,11,3.473,3.542
M9PCE0,1.53,14,4.531,3.385
A1ZBJ2,0.88,14,4.452,3.403
Q59DP9,2.33,11,3.319,3.317
Q9VMI5,-2.72,14,1.455,3.674
Q8MLN4,1.16,5,3.419,2.937
Q7KSQ0,1.44,9,4.251,3.044
Q0KIA8,1.37,12,2.397,1.612
Q94883,-0.62,1,0.999,3.649
P20240,-1.38,4,0.874,3.172
Q9TVM2,-1.36,7,2.561,3.449
Q7KTV5,-0.58,2,2.47,3.931
Q9W2F2,2.45,2,1.716,2.381
Q9W3U9,-0.83,2,0.198,2.389
Q1RL12,2.27,10,2.921,3.243
Q9VCA9,-0.04,0,2.176,3.61
Q9BLY4,0.49,2,2.493,1.006
Q7KLV9,-1.58,7,3.154,3.73
A1Z7F1,4.8,8,5.457,2.245
Q9U1J0,3.29,9,4.324,2.791
F3YDE2,3.08,9,5.669,4.279
Q8MLV1,1.14,1,0.505,3.611
Q9VGK3,-1.74,9,2.37,4.067
Q9W2X6,2.54,10,4.912,4.683
Q9VBU7,-1.5,7,2.24,3.427
Q7K012,-0.34,1,0.945,3.555
P05661,5.51,10,5.499,4.438
Q7KTG2,0.73,1,2.985,1.976
M9PDK5,1.03,10,4.064,3.581
Q8MSW6,-0.9,6,1.38,4.178
Q8IPD5,-1,1,-2.965,3.259
Q1EC13,2.21,9,4.352,3.726
Q8STG9,-0.86,9,3.786,5.271
P40417,-0.86,10,0.619,2
Q494K4,3.52,13,5.537,3.897
Q9W227,-1.21,9,4.534,5.678
Q7KMM4,-1.39,11,3.855,4.064
Q9VVZ4,0.89,3,-2.804,2.101
P48588,-1.43,13,6.391,6.319
Q9W2D9,-1.46,7,4.251,4.652
Q9VH07,-2.1,9,2.243,2.997
Q9VHY6,-1.19,10,2.669,3.31
Q9VG38,0.18,0,1.574,2.983
Q9W4H6,2.41,11,5.515,3.451
Q86BM5,-1.38,9,3.874,4.533
Q8MS37,-0.32,0,0.277,3.161
Q9VFE7,-0.36,1,1.219,2.248
Q7K511,3.63,10,4.104,1.751
Q7KN61,-0.86,7,2.767,3.838
Q8IMC1,4.37,8,0.505,2.244
M9MQH9,-1.27,9,3.827,4.236
Q9VE52,-0.96,6,0.661,2.026
E1JHR5,1.13,11,5.455,3.824
L7X6D0,-1.07,8,3.184,2.396
Q9VWH4,3.04,9,5.808,3.723
Q9VKM7,-1.35,11,2.347,3.138
Q9VK59,-1.52,3,1.706,3.319
Q24251,2.97,10,6.081,4.668
P55162,0.48,2,1.247,2.372
Q9VD01,2.17,11,6.885,4.258
Q9W259,-0.07,0,3.909,2.417
P46222,-1.37,13,5.549,6.733
Q9VNA5,-1.39,7,3.59,4.355
M9PHJ0,4,14,6.535,4.092
Q9VQ29,2.03,7,4.47,4.544
Q7K3E2,1.38,6,3.471,3.307
Q9V3S0,4.43,10,9.198,1.729
Q9W2V9,-1.82,2,4.331,3.846
Q9XZ61,-1.75,9,2.161,3.459
Q9VBU9,-1.34,5,5.982,6.102
Q9V9W7,1.65,2,-0.737,1.281
Q9W1B9,-1.48,9,5.575,6.457
Q9VM18,2.58,10,4.598,4.116
Q86DS7,-1.61,8,4.631,3.624
Q7K3N4,1.09,4,2.241,2.346
Q9VAI9,2.66,9,5.358,3.696
Q7JVK6,-1.4,6,0.83,3.121
Q9VEB1,2.43,11,5.777,4.054
Q9V7Y2,1,3,3.636,2.748
E1JJF3,1.4,9,3.027,4.567
Q8IGR0,1.1,11,7.075,7.343
M9PH10,2.55,9,0.685,1.3
Q7JVH6,0.44,6,4.137,2.631
P29613,1.29,11,5.309,3.843
Q86BQ4,0.09,0,2.352,4.056
A4V4F2,1.46,11,1.488,2.062
Q9XZ58,-1.11,3,2.114,2.986
X2JCX8,-1.36,11,5.811,6.879
P07486,2.11,15,6.245,4.551
A1Z6H7,-0.95,8,0.884,3.087
Q9VXK6,-1.13,10,4.406,3.809
P51406,-0.88,2,1.778,3.053
Q9VQT8,2.24,5,6.406,4.75
Q8MLS2,-0.61,4,3.232,2.037
X2JEM4,-1.18,3,5.119,6.619
Q7KUB0,0.97,12,5.795,3.963
Q94529,1.76,9,3.341,2.612
P40304,-1.58,6,3.76,4.536
Q9VMA7,1.43,3,3.223,2.037
P17704,-1.68,11,6.001,6.677
Q9VKW3,-1.94,9,0.279,2.517
Q9V3Y4,1.07,10,1.911,2.928
Q961R5,1.21,3,4.192,3.428
X2JES1,2.38,16,3.176,3.464
X2J950,-1.03,10,6.212,6.614
Q00637,1.68,11,4.191,3.283
Q9VF03,-1.28,7,2.533,3.615
O18373,-1.52,10,2.161,4.483
Q9W3N1,2.09,14,4.688,3.007
A4UZL5,5.32,10,4.89,3.388
A4V4U5,2.85,11,2.43,1.846
Q8T3U2,-1.19,9,5.835,7.308
O61305,1.83,8,2.286,2.458
B5RIR1,2.48,13,4.67,3.35
Q9VCW3,-2.08,9,0.635,2.169
B7FNQ3,2.36,6,4.138,3.981
Q7KLE5,2.13,11,3.586,2.76
Q9VAC1,2.74,10,5.834,3.704
Q7K3Z3,-1.08,7,2.65,2.823
L0MPS3,1.07,10,5.529,3.899
Q9VCI7,0.42,3,1.887,3.16
Q9VBV8,2.13,5,0.991,1.682
E2QD65,-1.35,11,5.384,6.373
P80455,-1.23,11,5.813,6.768
B5RIM9,4.74,11,4.826,3.766
Q9VSN3,1.13,5,1.538,2.207
Q9VLC5,0.96,8,5.001,3.999
E1JIL4,-1.2,8,2.235,4.078
Q24372,-0.1,0,2.604,4.712
Q7JWF1,0.83,13,3.585,2.009
Q7K5K3,2.15,10,4.309,3.518
P05205,-1.23,7,3.303,4.629
Q9VSL2,2.75,13,3.982,1.813
Q9VIX2,1.81,9,3.596,3.817
A1Z7S1,1.64,6,1.766,2.59
M9NEV0,0.64,1,2.274,3.297
Q9VG81,1.04,9,3.293,1.821
Q5BIC0,1.62,4,2.636,1.501
Q9Y134,0.19,0,0.895,2.742
P05389,-2.03,13,6.293,6.957
Q9V3E7,-0.61,2,3.014,4.517
A4V2K7,-1.59,5,3.324,4.289
Q9VM55,1.13,2,0.375,3.072
M9NEV7,3.02,9,4.041,4.392
Q8MM24,1.26,4,3.481,2.819
Q9VTF8,-0.81,4,1.505,2.893
P26270,-1.39,9,4.428,2.818
Q9VRS6,1.85,8,9.666,3.633
M9NE89,-1.09,3,2.593,4.398
Q95RX5,-1.45,6,3.186,2.967
Q9VVM2,1.31,6,5.498,2.15
Q7K3S2,2.56,7,2.288,1.127
P04359,-1.23,9,5.966,6.81
P17210,-1.05,7,3.331,2.882
Q9W3W1,1.99,2,1.864,3.053
D1YSG7,1.25,10,1.581,2.291
Q9W237,-1.31,8,5.674,7.147
Q9VA18,1.5,8,3.701,3.723
Q9W3F3,2.27,12,4.537,4.521
M9PGB6,-0.94,3,1.779,3.427
Q9W2I2,-1.48,9,0.364,2.01
O97062,-0.02,0,-3.497,2.832
Q9V460,1.93,3,2.112,3.107
Q8SZM7,0.35,4,3.415,1.876
M9PFX9,3.62,10,2.954,1.105
Q9V9M7,-1.24,7,6.138,6.385
Q9XZ06,1.65,1,1.729,3.224
Q7KTW5,1.37,11,3.176,1.816
Q9VDE2,1.45,9,2.032,1.833
Q07171,1,12,4.081,2.229
P51592,2.5,3,2.192,3.283
Q7K4H1,-0.17,1,0.748,1.848
Q9XYZ5,-1.83,10,1.767,3.119
Q9W5N2,-1.41,4,4.619,5.519
Q8SZL4,-0.46,1,-0.021,2.959
Q9VX15,-0.04,0,0.384,1.905
Q9VVL7,2.43,11,4.603,3.655
M9PBK5,-1.83,10,6.989,7.359
O76927,-1.07,7,5.803,6.25
M9NG39,-1.77,4,4.111,4.587
Q9VZ20,-1,6,3.887,2.372
Q9VL69,-1.06,5,4.22,5.035
Q7JUS9,6.84,9,5.251,2.746
Q9VFF0,2.51,12,6.22,4.462
Q9VV75,2.47,9,5.41,4.008
Q8IQU1,-1.32,2,1.837,4.425
M9NCX1,0.75,1,1.875,3.514
A1ZA72,6.1,9,2.825,0.444
M9PCG1,3.62,10,4.47,3.673
Q968K4,-0.8,5,0.962,2.201
M9MRC9,-1.4,10,6.028,7.314
Q9VRS4,2.46,10,7.975,4.276
Q9VWI2,-2.06,10,3.033,2.71
Q86P66,1.83,8,4.718,3.825
Q7JXC4,-0.18,2,2.635,3.701
Q7KV27,2.06,12,3.142,2.045
Q9W2M4,1.27,13,2.847,3.245
M9PGL7,-1.12,7,3.16,3.278
E1JH01,-1.31,8,1.882,3.052
Q8IPX7,-0.74,5,0.951,2.47
P35421,0.13,1,3.082,1.437
