study,name,Run,BioSample,sample,lake,depth,date,LibraryName,O2 (umol L-1)
MZG+20,Swiss Lakes,ERR2756261,SAMEA4853900,Z13,Lake Zug,124,2015-10-12,c,0.02
MZG+20,Swiss Lakes,ERR2756328,SAMEA4853900,Z13,Lake Zug,124,2015-10-12,c,0.02
MZG+20,Swiss Lakes,ERR2756329,SAMEA4853901,Z14,Lake Zug,128,2015-10-12,c,0.03
MZG+20,Swiss Lakes,ERR2756262,SAMEA4853901,Z14,Lake Zug,128,2015-10-12,c,0.03
MZG+20,Swiss Lakes,ERR2756263,SAMEA4853902,Z15,Lake Zug,132,2015-10-12,c,0.03
MZG+20,Swiss Lakes,ERR2756330,SAMEA4853902,Z15,Lake Zug,132,2015-10-12,c,0.03
MZG+20,Swiss Lakes,ERR2756331,SAMEA4853903,Z16,Lake Zug,136,2015-10-12,c,0.02
MZG+20,Swiss Lakes,ERR2756264,SAMEA4853903,Z16,Lake Zug,136,2015-10-12,c,0.02
MZG+20,Swiss Lakes,ERR2756265,SAMEA4853904,Z17,Lake Zug,140,2015-10-12,c,0.02
MZG+20,Swiss Lakes,ERR2756332,SAMEA4853904,Z17,Lake Zug,140,2015-10-12,c,0.02
MZG+20,Swiss Lakes,ERR2756333,SAMEA4853905,L01,Lake Lugano,63,2015-11-04,c,102.04
MZG+20,Swiss Lakes,ERR2756266,SAMEA4853905,L01,Lake Lugano,63,2015-11-04,c,102.04
MZG+20,Swiss Lakes,ERR2756267,SAMEA4853906,L02,Lake Lugano,71,2015-11-04,c,55.88
MZG+20,Swiss Lakes,ERR2756268,SAMEA4853907,L03,Lake Lugano,79,2015-11-04,c,23.72
MZG+20,Swiss Lakes,ERR2756269,SAMEA4853908,L04,Lake Lugano,87,2015-11-04,c,0.03
MZG+20,Swiss Lakes,ERR2756270,SAMEA4853909,L05,Lake Lugano,95,2015-11-04,c,0.03
MZG+20,Swiss Lakes,ERR2756271,SAMEA4853910,L06,Lake Lugano,103,2015-11-04,c,0.03
MZG+20,Swiss Lakes,ERR2756272,SAMEA4853911,L07,Lake Lugano,111,2015-11-04,c,0.02
MZG+20,Swiss Lakes,ERR2756273,SAMEA4853912,L08,Lake Lugano,119,2015-11-04,c,0.02
MZG+20,Swiss Lakes,ERR2756274,SAMEA4853913,L09,Lake Lugano,127,2015-11-04,c,0.02
MZG+20,Swiss Lakes,ERR2756275,SAMEA4853914,L10,Lake Lugano,135,2015-11-04,c,0.02
MZG+20,Swiss Lakes,ERR2756276,SAMEA4853915,L11,Lake Lugano,143,2015-11-04,c,0.03
MZG+20,Swiss Lakes,ERR2756277,SAMEA4853916,R02,Rotsee,8,2015-07-27,c,390.43
MZG+20,Swiss Lakes,ERR2756278,SAMEA4853917,R03,Rotsee,8.25,2015-07-27,c,390.09
MZG+20,Swiss Lakes,ERR2756279,SAMEA4853918,R04,Rotsee,8.5,2015-07-27,c,343.87
MZG+20,Swiss Lakes,ERR2756280,SAMEA4853919,R05,Rotsee,8.75,2015-07-27,c,306.52
MZG+20,Swiss Lakes,ERR2756281,SAMEA4853920,R06,Rotsee,9,2015-07-27,c,282.8
MZG+20,Swiss Lakes,ERR2756282,SAMEA4853921,R07,Rotsee,9.25,2015-07-27,c,261.89
MZG+20,Swiss Lakes,ERR2756283,SAMEA4853922,R08,Rotsee,9.5,2015-07-27,c,241.02
MZG+20,Swiss Lakes,ERR2756284,SAMEA4853923,R09,Rotsee,9.75,2015-07-27,c,39.85
MZG+20,Swiss Lakes,ERR2756285,SAMEA4853924,R10,Rotsee,10,2015-07-27,c,4.88
MZG+20,Swiss Lakes,ERR2756286,SAMEA4853925,R11,Rotsee,10.25,2015-07-27,c,0.13
MZG+20,Swiss Lakes,ERR2756287,SAMEA4853926,R12,Rotsee,10.5,2015-07-27,c,0.41
MZG+20,Swiss Lakes,ERR2756288,SAMEA4853927,R13,Rotsee,10.75,2015-07-27,c,0.38
MZG+20,Swiss Lakes,ERR2756289,SAMEA4853928,R14,Rotsee,11,2015-07-27,c,0.03
MZG+20,Swiss Lakes,ERR2756290,SAMEA4853929,R15,Rotsee,11.25,2015-07-27,c,0.03
MZG+20,Swiss Lakes,ERR2756291,SAMEA4853930,R16,Rotsee,11.5,2015-07-27,c,0.03
MZG+20,Swiss Lakes,ERR2756292,SAMEA4853931,R17,Rotsee,11.75,2015-07-27,c,0.03
MZG+20,Swiss Lakes,ERR2756293,SAMEA4853932,R18,Rotsee,12,2015-07-27,c,0.03
MZG+20,Swiss Lakes,ERR2756294,SAMEA4853933,R19,Rotsee,12.25,2015-07-27,c,0.06
MZG+20,Swiss Lakes,ERR2756295,SAMEA4853934,L02r,Lake Lugano,71,2015-11-04,c,55.88
MZG+20,Swiss Lakes,ERR2756296,SAMEA4853935,Z03r,Lake Zug,104,2015-10-12,c,23.85
MZG+20,Swiss Lakes,ERR2756230,SAMEA4853091,G03,Greifensee,6.5,2015-08-20,c,47.32
MZG+20,Swiss Lakes,ERR2756231,SAMEA4853092,G04,Greifensee,6.9,2015-08-20,c,2
MZG+20,Swiss Lakes,ERR2756232,SAMEA4853093,G05,Greifensee,7.3,2015-08-20,c,0.02
MZG+20,Swiss Lakes,ERR2756233,SAMEA4853094,G06,Greifensee,7.7,2015-08-20,c,0.02
