study,name,Run,BioSample,sample,sDII,type
MMA+20,"Pennsylvania Streams 2017",SRR9115170,SAMN11830938,PASFUOG_Hicks_Sed_0917,10.71,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115112,SAMN11830939,PASFUOG_Little_Bear_Dup_Sed_0416,11.61,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115172,SAMN11830940,PASFUOG_Little_Bear_Dup_Sed_0916,11.61,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115171,SAMN11830941,PASFUOG_Little_Bear_Dup_Sed_0917,11.61,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115174,SAMN11830942,PASFUOG_Little_Bear_Sed_0416,11.61,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115173,SAMN11830943,PASFUOG_Little_Bear_Sed_0417,11.61,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115169,SAMN11830948,PASFUOG_Painter_Dup_Sed_0916,11.61,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115152,SAMN11830949,PASFUOG_Painter_Dup_Sed_0917,11.61,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115167,SAMN11830950,PASFUOG_Painter_Sed_0416,11.61,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115168,SAMN11830951,PASFUOG_Painter_Sed_0417,11.61,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115153,SAMN11830954,PASFUOG_RB_Nelson_Dup_Sed_0417,5.36,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115154,SAMN11830955,PASFUOG_RB_Nelson_Sed_0416,5.36,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115100,SAMN11830967,PASFUOG_Slate_Dup_Sed_0416,5.36,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115084,SAMN11830968,PASFUOG_Slate_Dup_Sed_0417,5.36,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115085,SAMN11830969,PASFUOG_Slate_Dup_Sed_0916,5.36,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115082,SAMN11830970,PASFUOG_Slate_Dup_Sed_0917,5.36,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115083,SAMN11830971,PASFUOG_Slate_Sed_0416,5.36,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115088,SAMN11830972,PASFUOG_Slate_Sed_0417,5.36,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115089,SAMN11830973,PASFUOG_Slate_Sed_0916,5.36,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115086,SAMN11830974,PASFUOG_Slate_Sed_0917,5.36,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115087,SAMN11830975,PASFUOG_Straight_Lower_Dup_Sed_0417,26.79,NA
MMA+20,"Pennsylvania Streams 2017",SRR9115080,SAMN11830976,PASFUOG_Straight_Lower_Dup_Sed_0916,26.79,NA
MMA+20,"Pennsylvania Streams 2017",SRR9115081,SAMN11830977,PASFUOG_Straight_Lower_Dup_Sed_0917,26.79,NA
MMA+20,"Pennsylvania Streams 2017",SRR9115122,SAMN11830978,PASFUOG_Straight_Lower_Dup_Sediment_0416,26.79,NA
MMA+20,"Pennsylvania Streams 2017",SRR9115121,SAMN11830979,PASFUOG_Straight_Lower_Sed_0417,26.79,NA
MMA+20,"Pennsylvania Streams 2017",SRR9115120,SAMN11830980,PASFUOG_Straight_Lower_Sed_0916,26.79,NA
MMA+20,"Pennsylvania Streams 2017",SRR9115119,SAMN11830981,PASFUOG_Straight_Lower_Sed_0917,26.79,NA
MMA+20,"Pennsylvania Streams 2017",SRR9115118,SAMN11830982,PASFUOG_Straight_Lower_Sediment_0416,26.79,NA
MMA+20,"Pennsylvania Streams 2017",SRR9115117,SAMN11830983,PASFUOG_Sunken_Dup_Sed_0917,0,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115116,SAMN11830984,PASFUOG_Sunken_Sed_0416,0,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115115,SAMN11830985,PASFUOG_Sunken_Sed_0417,0,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115114,SAMN11830986,PASFUOG_Sunken_Sed_0916,0,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115113,SAMN11830987,PASFUOG_Sunken_Sed_0917,0,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115149,SAMN11830988,PASFUOG_Trout_Sed_0416,36.61,"high disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115150,SAMN11830989,PASFUOG_Trout_Sed_0417,36.61,"high disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115151,SAMN11830990,PASFUOG_Trout_Sed_0916,36.61,"high disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115138,SAMN11830991,PASFUOG_Trout_Sed_0917,36.61,"high disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115182,SAMN11830995,PASFUOG_Wallis_Jacoby_Sed_0917,41.07,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115197,SAMN11830878,PASFUOG_Boone_Johnson_Dup_Sed_0916,61.61,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115196,SAMN11830879,PASFUOG_Boone_Johnson_Sed_0416,61.61,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115195,SAMN11830880,PASFUOG_Boone_Johnson_Sed_0417,61.61,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115194,SAMN11830881,PASFUOG_Boone_Johnson_Sed_0916,61.61,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115201,SAMN11830882,PASFUOG_Boone_Johnson_Sed_0917,61.61,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115200,SAMN11830883,PASFUOG_Boone_Sed_0416,60.71,"highest disturbance"
