protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
tr|Q9VLT3,DROME,FKL+19,Q9VLT3,1,89,16,86,99,87,100,32,100,53,146,41,114,91,100,114,117,105,138,31,101
sp|P53777,DROME,FKL+19,MLP1,1,7,9,2,7,5,12,4,0,10,4,2,4,5,0,3,4,6,4,0,4
tr|X2JG90,DROME,FKL+19,X2JG90,1,14,10,24,21,15,22,7,20,14,27,5,10,12,14,19,18,10,23,5,17
tr|O44116,DROME,FKL+19,O44116,1,54,15,36,49,10,25,12,42,43,109,16,31,17,27,18,38,39,36,3,14
sp|P06606,DROME,FKL+19,TBA4,1,36,14,29,33,25,32,11,24,21,35,13,24,16,12,23,38,26,33,3,14
sp|Q01637,DROME,FKL+19,UMPS,1,51,6,36,22,18,41,10,27,36,49,8,17,11,23,21,28,24,50,2,13
tr|Q9VG04,DROME,FKL+19,Q9VG04,1,24,7,19,14,11,19,12,18,17,24,10,6,11,12,13,31,11,14,4,18
tr|Q9V3I2,DROME,FKL+19,Q9V3I2,1,22,4,8,13,9,17,3,12,15,14,4,15,7,14,9,14,18,13,2,6
sp|P02283,DROME,FKL+19,H2B,1,14,0,3,6,2,5,3,9,21,6,3,4,4,3,7,12,10,6,0,5
tr|Q9VJZ4,DROME,FKL+19,Q9VJZ4,1,11,3,7,12,7,7,5,3,10,12,1,5,8,8,17,5,2,8,5,8
tr|Q95T84,DROME,FKL+19,Q95T84,1,42,9,21,24,16,41,14,17,25,53,9,17,15,25,18,26,23,24,7,13
tr|D1FYI8,DROME,FKL+19,D1FYI8,1,17,7,8,9,5,6,5,5,11,12,2,9,3,8,4,5,3,14,3,6
sp|P53034,DROME,FKL+19,RFC2,1,31,7,17,26,10,17,9,33,27,32,8,15,12,13,17,13,19,16,3,6
sp|P16371,DROME,FKL+19,GROU,1,50,13,38,42,14,58,26,32,38,57,16,29,71,44,38,60,33,40,8,23
tr|Q2XXZ0,DROME,FKL+19,Q2XXZ0,1,105,26,51,80,46,55,33,63,58,174,41,51,57,66,63,78,52,88,12,29
sp|Q9U616,DROME,FKL+19,GCSH,1,18,2,7,16,5,10,3,6,12,16,2,5,6,7,5,15,7,16,2,5
tr|Q3YMU0,DROME,FKL+19,Q3YMU0,1,36,6,40,39,28,27,8,20,54,41,5,21,23,13,16,30,23,34,5,20
tr|M9PGG8,DROME,FKL+19,M9PGG8,1,14,2,16,22,10,11,0,12,20,15,6,8,4,6,11,7,10,6,0,2
tr|F6JQA6,DROME,FKL+19,F6JQA6,1,26,7,20,17,16,18,11,26,22,32,11,15,15,9,21,27,15,21,1,10
tr|Q9VZQ8,DROME,FKL+19,Q9VZQ8,1,13,3,12,10,6,14,2,8,20,14,4,13,6,3,3,7,9,13,1,8
sp|O46106,DROME,FKL+19,NOI,1,35,5,33,56,19,25,18,18,35,62,9,22,18,20,33,30,20,18,7,20
sp|Q9VXN4,DROME,FKL+19,SYRC,1,36,16,39,54,31,37,16,47,58,75,11,25,20,22,35,52,29,38,5,19
sp|Q9VE00,DROME,FKL+19,C12A4,1,34,4,24,43,27,22,4,21,37,59,24,31,36,20,35,28,24,39,8,16
tr|Q9W2E8,DROME,FKL+19,Q9W2E8,1,7,1,2,9,5,19,11,1,6,9,1,2,5,3,6,3,5,9,2,4
tr|Q9VD29,DROME,FKL+19,Q9VD29,1,12,2,15,9,11,19,4,7,13,29,4,6,7,6,10,8,11,9,6,5
tr|F3YDH0,DROME,FKL+19,F3YDH0,1,50,2,55,54,24,53,9,42,64,51,10,29,26,26,26,28,37,55,2,13
tr|Q9VRP3,DROME,FKL+19,Q9VRP3,1,20,6,19,17,16,23,7,21,21,19,7,15,10,20,8,18,13,20,1,6
tr|Q9VXZ0,DROME,FKL+19,Q9VXZ0,1,10,4,6,12,6,3,4,2,9,11,6,2,7,4,10,3,5,6,0,7
tr|Q9VUW2,DROME,FKL+19,Q9VUW2,1,31,9,14,21,7,19,7,24,21,22,4,8,11,8,5,16,20,21,2,14
tr|Q9VDY8,DROME,FKL+19,Q9VDY8,1,15,4,18,24,12,17,7,16,22,20,5,10,14,11,14,10,18,19,4,12
tr|Q9W402,DROME,FKL+19,Q9W402,1,11,1,6,11,8,9,3,7,13,11,3,3,14,3,10,5,11,13,4,8
tr|Q9VVA6,DROME,FKL+19,Q9VVA6,1,19,4,23,39,11,19,3,20,40,30,8,13,10,13,16,21,21,14,5,3
sp|P18053,DROME,FKL+19,PSA4,1,25,6,14,19,4,16,2,14,23,27,7,10,8,13,10,17,17,15,2,15
tr|F3YDB2,DROME,FKL+19,F3YDB2,1,25,5,33,28,17,17,3,13,42,26,8,9,12,10,14,19,17,9,1,4
tr|Q9VX36,DROME,FKL+19,Q9VX36,1,21,6,15,15,8,16,4,15,16,20,8,11,17,7,13,13,17,11,2,7
tr|Q9XZE0,DROME,FKL+19,Q9XZE0,1,35,2,20,40,14,15,4,19,15,42,9,28,23,27,20,47,24,20,0,10
tr|Q9VFG5,DROME,FKL+19,Q9VFG5,1,23,1,20,13,16,29,2,18,22,19,3,19,16,12,10,14,21,26,5,14
tr|Q8MT58,DROME,FKL+19,Q8MT58,1,27,7,32,38,15,42,13,26,39,48,7,19,27,15,16,23,20,41,8,15
tr|B7YZK4,DROME,FKL+19,B7YZK4,1,34,3,22,43,10,22,10,15,22,24,12,25,21,34,35,42,25,28,5,6
tr|Q6IDF5,DROME,FKL+19,Q6IDF5,1,11,0,3,10,9,8,3,3,10,9,2,3,3,6,10,5,6,6,1,5
sp|P11046,DROME,FKL+19,LAMB1,1,117,126,113,133,50,125,43,76,97,140,18,128,76,98,83,120,101,74,12,58
sp|Q27268,DROME,FKL+19,DX39B,1,21,8,30,36,23,21,12,23,30,42,15,18,14,24,22,18,22,35,0,10
sp|Q9V521,DROME,FKL+19,PPO2,1,29,5,54,34,41,37,20,35,15,58,23,40,46,26,68,48,28,47,8,22
tr|Q9VCR2,DROME,FKL+19,Q9VCR2,1,29,3,24,30,18,28,9,23,25,38,6,15,22,12,18,22,22,34,6,17
tr|Q9V3V6,DROME,FKL+19,Q9V3V6,1,37,4,33,38,12,23,6,30,35,40,14,18,16,17,23,21,22,30,1,8
tr|Q9GQR6,DROME,FKL+19,Q9GQR6,1,20,2,8,37,3,3,3,19,37,17,5,12,6,14,12,11,12,11,0,2
sp|Q9V3P6,DROME,FKL+19,PSMD1,1,100,11,69,89,33,60,21,57,72,100,32,40,39,41,44,66,50,61,5,30
tr|Q9VR79,DROME,FKL+19,Q9VR79,1,14,20,26,16,13,14,4,3,19,12,2,12,19,9,7,5,14,18,2,8
tr|A4V488,DROME,FKL+19,A4V488,1,46,8,25,31,14,53,9,31,34,48,21,23,19,21,22,41,31,41,0,19
tr|M9NDM4,DROME,FKL+19,M9NDM4,1,21,9,21,9,11,28,11,17,32,31,2,20,19,9,5,46,25,26,10,9
sp|Q94514,DROME,FKL+19,COX5A,1,13,3,9,14,2,11,1,10,10,19,3,3,6,2,11,11,7,6,2,6
sp|Q9V3N1,DROME,FKL+19,SP27A,1,38,0,21,30,30,26,7,19,28,45,6,29,15,22,17,30,39,30,4,11
tr|O97064,DROME,FKL+19,O97064,1,52,1,9,5,5,8,1,9,5,9,1,3,20,6,7,6,9,23,0,12
tr|Q9W374,DROME,FKL+19,Q9W374,1,96,35,61,53,39,90,13,64,63,90,16,37,64,46,47,61,59,68,10,19
tr|Q9VMB9,DROME,FKL+19,Q9VMB9,1,14,6,5,8,5,8,2,5,10,8,6,7,5,5,8,2,4,7,3,2
tr|Q7PLP4,DROME,FKL+19,Q7PLP4,1,87,34,80,60,34,55,37,77,57,155,18,78,37,39,52,86,45,56,8,16
tr|C0MJA0,DROME,FKL+19,C0MJA0,1,16,0,10,13,1,8,0,2,20,4,3,4,4,0,7,10,1,4,3,2
tr|Q9V3Y7,DROME,FKL+19,Q9V3Y7,1,15,1,17,19,14,22,2,17,15,25,2,18,27,16,22,36,30,24,3,8
sp|O61613,DROME,FKL+19,NMT,1,41,6,30,28,18,18,9,17,41,46,15,25,24,18,22,27,25,34,9,19
sp|Q9I7K5,DROME,FKL+19,TMEDE,1,9,5,9,17,11,9,10,13,9,19,6,5,5,13,15,20,11,19,4,7
tr|Q9VVW7,DROME,FKL+19,Q9VVW7,1,12,6,11,32,4,11,6,5,26,27,3,4,8,8,13,10,10,15,3,7
tr|Q8SXM8,DROME,FKL+19,Q8SXM8,1,52,8,27,57,29,32,15,29,46,51,18,21,32,20,30,31,28,30,0,18
tr|Q9VGP4,DROME,FKL+19,Q9VGP4,1,68,17,64,74,41,45,18,78,50,118,30,53,39,53,35,62,68,69,9,27
tr|Q9VPF6,DROME,FKL+19,Q9VPF6,1,18,1,17,14,7,21,7,19,22,29,6,16,21,19,18,12,11,10,2,16
sp|Q9VFB2,DROME,FKL+19,RT10,1,12,1,4,14,4,7,10,7,13,19,6,4,11,8,11,11,13,8,3,7
tr|Q9VF27,DROME,FKL+19,Q9VF27,1,22,9,9,23,12,13,5,13,10,17,5,8,10,5,17,11,12,7,1,8
tr|X2JDP6,DROME,FKL+19,X2JDP6,1,59,10,45,36,24,43,9,33,45,44,16,27,29,19,28,49,33,42,5,6
tr|Q9VVU2,DROME,FKL+19,Q9VVU2,1,10,0,5,8,4,9,4,7,19,9,4,7,6,8,18,8,4,14,0,5
tr|Q8MZ78,DROME,FKL+19,Q8MZ78,1,23,5,16,14,10,23,7,9,19,18,6,16,12,4,12,15,16,22,4,15
sp|Q9V5C6,DROME,FKL+19,PSA3,1,27,2,17,20,10,23,6,17,19,18,6,6,7,8,11,17,11,17,1,10
tr|Q9U5W8,DROME,FKL+19,Q9U5W8,1,39,1,24,17,22,27,7,17,23,43,7,27,11,19,19,29,18,29,2,12
tr|Q9W5W8,DROME,FKL+19,Q9W5W8,1,33,6,18,17,13,17,8,15,24,37,8,9,14,10,11,27,19,21,1,4
tr|Q9VBG7,DROME,FKL+19,Q9VBG7,1,15,2,7,12,5,16,6,7,6,10,2,8,8,3,5,8,3,13,2,10
tr|Q9VNW6,DROME,FKL+19,Q9VNW6,1,89,10,42,51,23,57,21,39,41,86,21,31,30,27,44,57,35,55,5,12
tr|Q9W3F6,DROME,FKL+19,Q9W3F6,1,26,12,29,34,27,34,6,16,34,40,12,31,18,15,23,37,22,45,9,18
tr|Q9VPY2,DROME,FKL+19,Q9VPY2,1,61,17,44,43,23,62,17,39,38,74,16,41,30,30,32,68,48,70,14,20
tr|Q8SX76,DROME,FKL+19,Q8SX76,1,38,5,18,34,17,23,11,18,18,66,8,18,12,17,22,38,20,27,2,9
tr|Q9VY05,DROME,FKL+19,Q9VY05,1,51,7,39,35,18,57,21,33,36,55,22,30,30,17,30,36,44,29,10,23
sp|P08985,DROME,FKL+19,H2AV,1,19,0,5,7,1,15,6,10,14,13,1,2,4,5,10,10,7,9,0,3
tr|Q9VIB5,DROME,FKL+19,Q9VIB5,1,30,8,35,38,27,38,9,31,37,50,15,26,36,21,31,35,24,42,12,27
tr|X2JF40,DROME,FKL+19,X2JF40,1,35,11,23,28,11,36,11,28,32,36,13,18,16,17,11,21,28,37,6,14
tr|Q0IGW6,DROME,FKL+19,Q0IGW6,1,62,15,58,69,39,48,22,52,61,108,25,41,25,42,45,56,51,71,4,23
sp|P35004,DROME,FKL+19,TRYB,1,27,7,5,3,5,30,4,16,6,19,3,12,7,9,7,49,8,22,5,9
tr|A0A024E3A5,DROME,FKL+19,A0A024E3A5,1,36,4,24,23,17,34,10,20,25,36,8,14,24,11,35,19,20,32,7,17
tr|X2JAW6,DROME,FKL+19,X2JAW6,1,124,100,121,128,54,121,43,69,91,122,10,103,59,97,94,99,88,60,9,47
sp|Q7KN62,DROME,FKL+19,TERA,1,68,13,62,64,31,54,11,59,50,67,23,35,43,25,53,44,33,50,2,14
tr|X2J6D4,DROME,FKL+19,X2J6D4,1,11,2,4,6,4,14,3,5,15,8,2,5,5,3,3,1,7,5,1,4
sp|P40301,DROME,FKL+19,PSA2,1,20,2,11,13,7,19,5,14,13,20,7,8,11,11,9,18,13,16,2,15
tr|Q7KK96,DROME,FKL+19,Q7KK96,1,88,14,60,123,32,55,16,70,129,105,30,69,20,82,61,64,61,70,4,26
tr|Q9VT25,DROME,FKL+19,Q9VT25,1,21,8,19,7,5,32,7,17,4,20,4,15,11,9,13,20,17,17,8,10
tr|Q9U916,DROME,FKL+19,Q9U916,1,22,6,59,42,17,21,9,20,44,20,7,15,25,13,7,15,19,21,11,13
tr|Q9V9Q4,DROME,FKL+19,Q9V9Q4,1,25,4,18,30,13,22,6,18,30,29,7,26,10,11,15,27,22,20,11,10
tr|Q9VGE7,DROME,FKL+19,Q9VGE7,1,43,5,32,29,30,54,10,29,22,65,14,30,38,29,40,35,36,47,13,36
sp|P52029,DROME,FKL+19,G6PI,1,40,5,30,31,30,42,22,32,41,56,10,33,21,19,16,33,36,36,11,14
tr|Q9VAC4,DROME,FKL+19,Q9VAC4,1,7,1,8,24,8,12,3,9,14,8,2,8,8,6,2,11,7,14,0,4
tr|Q9VBE2,DROME,FKL+19,Q9VBE2,1,37,2,9,11,10,50,3,20,9,19,2,17,13,15,10,33,5,16,0,7
tr|Q9VD14,DROME,FKL+19,Q9VD14,1,55,5,33,26,22,27,11,26,41,70,12,30,22,18,29,55,30,39,4,9
sp|Q8T8R1,DROME,FKL+19,Y3800,1,7,18,5,9,3,33,6,3,10,2,4,13,7,2,16,8,8,4,1,6
tr|Q9VTB3,DROME,FKL+19,Q9VTB3,1,16,2,6,23,13,16,4,15,14,20,3,12,11,9,15,23,12,14,0,5
sp|P52304,DROME,FKL+19,POLO,1,23,12,36,33,25,28,18,45,53,52,24,29,23,21,31,33,34,25,4,27
tr|Q9VE85,DROME,FKL+19,Q9VE85,1,22,9,27,23,11,19,10,15,13,23,13,14,10,20,21,38,17,38,7,8
tr|Q9VRL0,DROME,FKL+19,Q9VRL0,1,32,2,13,17,9,27,9,15,20,28,3,10,16,14,13,24,13,19,4,19
tr|Q2PDR9,DROME,FKL+19,Q2PDR9,1,24,6,27,41,17,28,7,29,29,42,13,23,20,16,35,32,23,38,5,14
sp|P17917,DROME,FKL+19,PCNA,1,23,9,20,19,11,11,3,15,16,24,13,13,6,11,9,18,16,18,0,5
sp|P25171,DROME,FKL+19,RCC1,1,42,11,36,39,10,54,11,27,54,43,6,24,27,23,24,37,33,37,4,5
tr|M9PD08,DROME,FKL+19,M9PD08,1,32,9,35,38,22,38,9,28,48,31,15,14,22,15,24,27,27,45,6,10
sp|Q8IQV9,DROME,FKL+19,NU205,1,157,41,102,124,74,105,57,117,80,288,68,113,65,113,122,167,104,114,13,66
tr|Q7K0D3,DROME,FKL+19,Q7K0D3,1,30,7,14,29,11,8,3,13,42,17,6,12,7,19,11,16,10,17,3,6
tr|A4V0N4,DROME,FKL+19,A4V0N4,1,39,5,35,48,23,48,8,35,34,50,20,23,30,18,33,49,31,54,6,25
sp|Q24169,DROME,FKL+19,ORC5,1,38,12,22,34,22,20,8,25,25,67,9,19,12,27,27,25,27,26,1,14
sp|Q02427,DROME,FKL+19,RBP1,1,12,3,6,8,6,14,1,4,3,7,2,7,8,6,19,16,9,6,2,5
tr|Q9VWG1,DROME,FKL+19,Q9VWG1,1,11,0,11,19,8,5,4,11,15,15,5,10,10,5,11,18,9,12,0,4
tr|Q9VN44,DROME,FKL+19,Q9VN44,1,109,28,75,90,46,49,23,67,48,119,37,49,48,64,42,55,40,80,10,26
sp|Q9XYM0,DROME,FKL+19,CRK,1,9,4,28,15,12,15,3,17,18,18,4,16,11,14,17,18,16,21,4,11
tr|P91638,DROME,FKL+19,P91638,1,75,12,68,80,26,56,15,53,67,83,22,40,65,35,55,69,45,55,2,20
tr|E1JGZ9,DROME,FKL+19,E1JGZ9,1,23,6,12,19,9,14,3,20,19,14,5,9,9,8,13,18,14,17,0,12
tr|M9PCQ1,DROME,FKL+19,M9PCQ1,1,45,13,44,55,26,51,15,43,48,60,12,23,32,23,36,41,36,41,7,28
sp|Q9VCY3,DROME,FKL+19,CSN6,1,27,4,21,22,10,20,9,23,17,28,15,17,12,20,17,22,19,23,2,13
tr|Q8SZ38,DROME,FKL+19,Q8SZ38,1,31,0,16,35,24,28,12,26,36,40,2,35,45,65,8,40,20,49,0,16
tr|Q9VMZ5,DROME,FKL+19,Q9VMZ5,1,39,1,5,16,10,15,4,27,18,24,2,9,34,54,8,31,19,26,0,12
tr|A4V1N8,DROME,FKL+19,A4V1N8,1,58,2,45,133,7,13,19,56,72,103,4,39,2,55,78,65,48,62,2,16
tr|Q9VQM2,DROME,FKL+19,Q9VQM2,1,11,1,5,6,7,11,4,8,7,8,1,5,8,3,6,5,3,10,3,4
tr|X2J5E8,DROME,FKL+19,X2J5E8,1,35,10,25,49,16,34,7,26,47,35,8,25,16,9,14,21,25,22,4,11
tr|Q95SA6,DROME,FKL+19,Q95SA6,1,19,5,13,12,10,23,4,17,6,8,4,7,5,6,13,24,17,18,1,12
sp|Q9W0M7,DROME,FKL+19,SF3B3,1,88,26,78,81,51,87,29,68,51,122,37,47,57,46,69,84,79,76,7,44
tr|Q9VTW6,DROME,FKL+19,Q9VTW6,1,3,2,8,4,4,4,2,4,7,11,2,3,3,4,4,8,5,13,0,4
sp|Q9VQ62,DROME,FKL+19,NPC2,1,17,7,9,10,6,8,1,9,11,13,2,2,7,3,5,8,10,15,1,4
sp|Q9VUR3,DROME,FKL+19,AIMP2,1,31,8,15,15,7,18,5,18,21,40,8,14,16,17,18,22,22,24,3,12
tr|Q9V9W2,DROME,FKL+19,Q9V9W2,1,23,1,7,9,11,12,7,7,42,23,4,8,13,7,19,15,8,18,0,9
tr|M9PD27,DROME,FKL+19,M9PD27,1,24,4,27,34,21,33,8,29,35,46,9,22,12,18,19,29,26,27,3,11
tr|Q8IPG9,DROME,FKL+19,Q8IPG9,1,19,6,20,16,11,16,1,18,19,23,3,16,11,4,11,15,21,25,3,7
tr|Q9VJ80,DROME,FKL+19,Q9VJ80,1,110,40,63,92,57,86,40,76,46,143,18,76,85,80,91,101,72,70,16,32
tr|A8E6L6,DROME,FKL+19,A8E6L6,1,25,10,21,27,25,21,17,18,23,37,8,19,25,18,26,26,12,18,9,17
sp|P22465,DROME,FKL+19,ANX10,1,35,4,20,34,12,19,5,18,15,28,12,6,9,18,17,15,19,25,0,10
sp|Q94901,DROME,FKL+19,LARK,1,14,7,24,20,15,33,4,9,13,18,11,10,39,10,41,26,17,20,1,20
tr|Q9VXQ0,DROME,FKL+19,Q9VXQ0,1,17,2,11,17,12,37,10,19,24,27,7,25,24,13,26,14,24,34,8,11
sp|P84040,DROME,FKL+19,H4,1,7,0,3,4,2,17,2,6,11,8,2,2,1,2,14,1,8,9,0,4
sp|P54353,DROME,FKL+19,DOD,1,15,2,11,12,4,16,4,5,12,14,4,5,6,9,11,15,7,6,3,5
tr|Q9W3G0,DROME,FKL+19,Q9W3G0,1,48,8,24,45,25,43,26,24,21,74,10,31,38,23,38,38,35,46,10,26
tr|Q9VP77,DROME,FKL+19,Q9VP77,1,72,7,44,62,22,25,8,24,76,43,6,31,21,35,44,34,32,36,9,15
sp|P91938,DROME,FKL+19,TRXR1,1,52,13,30,30,18,61,14,30,34,49,9,18,30,20,29,35,42,54,6,22
sp|P91928,DROME,FKL+19,MIC60,1,94,4,47,58,17,41,13,27,67,75,8,28,27,37,49,40,28,52,5,22
tr|Q960Y8,DROME,FKL+19,Q960Y8,1,89,4,31,91,11,28,20,24,81,88,7,61,14,131,39,65,38,42,4,6
tr|E2QD63,DROME,FKL+19,E2QD63,1,43,4,29,33,18,35,4,14,35,27,7,18,21,19,17,23,9,13,1,7
tr|Q9VD58,DROME,FKL+19,Q9VD58,1,32,6,17,18,12,25,7,21,22,33,12,23,13,12,18,23,28,37,0,11
tr|Q8MRX2,DROME,FKL+19,Q8MRX2,1,32,5,18,21,27,22,9,33,16,37,17,24,21,15,30,30,24,29,8,22
tr|Q9VAA9,DROME,FKL+19,Q9VAA9,1,54,5,18,52,16,24,2,26,46,34,12,22,37,10,27,27,22,24,4,13
sp|Q9VGS2,DROME,FKL+19,TCTP,1,9,3,18,17,9,12,2,10,19,14,9,5,2,3,4,7,9,12,0,8
sp|Q9VLJ9,DROME,FKL+19,RM51,1,9,0,5,6,3,13,4,6,18,22,5,6,11,6,17,12,7,9,4,11
tr|Q9VXM4,DROME,FKL+19,Q9VXM4,1,13,2,26,22,7,14,1,10,18,18,4,17,12,8,14,20,12,19,1,10
tr|Q8SY58,DROME,FKL+19,Q8SY58,1,42,10,14,20,11,19,8,20,16,29,5,15,20,22,15,26,21,28,2,12
tr|Q9W3X7,DROME,FKL+19,Q9W3X7,1,19,4,11,10,4,11,4,2,16,13,4,4,15,6,7,9,3,8,4,21
tr|Q7KMP8,DROME,FKL+19,Q7KMP8,1,29,4,18,34,11,18,4,24,29,51,15,23,9,19,13,15,21,23,8,14
tr|Q9W229,DROME,FKL+19,Q9W229,1,10,1,4,5,9,11,2,4,18,9,5,4,3,4,15,4,13,7,0,3
sp|Q24400,DROME,FKL+19,MLP2,1,40,41,30,21,21,70,13,15,38,24,5,15,29,14,30,26,20,15,5,23
tr|Q7JZZ3,DROME,FKL+19,Q7JZZ3,1,15,4,15,16,6,45,20,15,9,18,2,5,22,12,8,16,8,27,5,18
tr|Q0E8X7,DROME,FKL+19,Q0E8X7,1,15,1,1,5,4,1,4,6,10,1,2,3,6,3,3,4,1,3,3,6
tr|Q9VNH5,DROME,FKL+19,Q9VNH5,1,17,4,27,31,12,11,9,21,25,41,4,17,23,14,18,33,20,24,3,20
sp|Q9W141,DROME,FKL+19,ATPK,1,12,0,3,2,8,9,5,3,9,5,2,5,8,3,7,2,4,7,4,9
tr|Q9VAX8,DROME,FKL+19,Q9VAX8,1,54,18,76,76,43,50,21,61,56,92,26,36,52,40,47,52,53,81,8,33
tr|M9PGW0,DROME,FKL+19,M9PGW0,1,15,13,17,13,24,17,9,28,23,37,15,15,16,12,20,16,17,27,10,18
tr|M9PDN9,DROME,FKL+19,M9PDN9,1,26,7,28,23,19,26,9,28,20,46,13,23,21,27,25,39,29,30,4,14
tr|Q8SX57,DROME,FKL+19,Q8SX57,1,33,4,11,15,7,24,6,16,15,24,6,11,8,7,10,14,17,26,0,3
tr|Q9VB64,DROME,FKL+19,Q9VB64,1,15,4,11,19,6,17,2,12,13,15,6,8,11,7,9,13,6,25,4,9
sp|Q9VBP9,DROME,FKL+19,NPL4,1,45,19,38,37,27,40,20,36,38,55,12,28,31,31,35,50,38,38,6,28
sp|Q95RN0,DROME,FKL+19,F172A,1,26,4,15,20,16,17,8,18,25,26,3,17,19,14,14,31,12,21,5,14
tr|A4V2S3,DROME,FKL+19,A4V2S3,1,44,9,22,23,14,30,9,24,19,40,11,20,16,10,24,12,20,28,2,9
sp|Q9W088,DROME,FKL+19,DPOD2,1,39,11,23,24,18,23,12,14,19,51,8,18,25,27,22,29,22,29,5,12
tr|Q9VF53,DROME,FKL+19,Q9VF53,1,109,31,57,80,45,111,27,68,76,119,30,57,61,57,50,81,74,85,13,42
tr|Q7KT11,DROME,FKL+19,Q7KT11,1,31,1,23,19,11,24,8,20,22,34,5,15,15,9,17,15,19,29,3,6
sp|Q9XZU1,DROME,FKL+19,XPO2,1,81,11,45,66,53,43,18,69,51,118,24,33,51,63,41,64,46,57,10,31
sp|P81900,DROME,FKL+19,KAPR2,1,29,1,34,28,17,19,4,17,21,33,13,15,13,20,24,28,15,30,1,15
tr|Q9V3I1,DROME,FKL+19,Q9V3I1,1,25,2,15,12,8,18,2,7,13,11,3,6,11,5,10,7,7,22,0,4
tr|Q9VMQ9,DROME,FKL+19,Q9VMQ9,1,4,4,11,13,6,8,6,2,11,10,4,6,8,2,6,4,4,11,3,3
tr|Q9VTU2,DROME,FKL+19,Q9VTU2,1,16,1,8,16,6,8,9,10,11,18,5,6,9,10,15,11,1,9,3,14
tr|Q9VC94,DROME,FKL+19,Q9VC94,1,111,16,77,111,36,78,30,78,151,147,20,74,44,53,53,86,75,132,15,43
sp|Q9VXY7,DROME,FKL+19,LSD2,1,35,3,22,17,6,17,6,14,30,24,4,21,16,20,12,29,29,35,3,9
sp|P26686,DROME,FKL+19,SRR55,1,13,1,23,21,10,35,5,6,25,14,5,15,11,3,72,73,10,19,1,14
tr|L0CRT0,DROME,FKL+19,L0CRT0,1,71,6,21,33,7,141,9,39,33,17,24,40,40,87,22,41,21,25,4,23
tr|Q9Y119,DROME,FKL+19,Q9Y119,1,63,17,50,51,25,49,27,43,44,82,23,37,43,17,49,40,36,71,14,28
sp|Q7PLI7,DROME,FKL+19,DCLK,1,38,14,43,43,24,46,18,51,45,70,11,46,41,16,43,70,51,51,3,24
tr|Q59E23,DROME,FKL+19,Q59E23,1,31,8,29,32,28,24,11,26,25,41,4,19,26,15,24,30,21,26,3,24
tr|Q5BIJ9,DROME,FKL+19,Q5BIJ9,1,41,9,34,18,23,50,12,20,19,29,10,33,16,16,21,50,23,39,11,20
tr|O76268,DROME,FKL+19,O76268,1,40,6,23,28,27,32,8,23,38,47,7,19,21,9,16,42,22,31,4,18
tr|Q7K1W4,DROME,FKL+19,Q7K1W4,1,30,4,25,30,37,33,14,21,29,50,11,17,24,15,17,22,27,29,9,24
tr|Q24160,DROME,FKL+19,Q24160,1,34,3,20,33,28,36,10,25,44,52,7,25,57,12,23,32,84,40,4,13
tr|Q9VB96,DROME,FKL+19,Q9VB96,1,55,5,30,25,26,41,7,28,39,35,12,23,22,16,13,25,27,37,6,13
sp|Q868Z9,DROME,FKL+19,PPN,1,168,207,208,246,83,238,33,64,119,104,15,143,192,102,122,321,268,136,35,94
tr|Q9VSY0,DROME,FKL+19,Q9VSY0,1,25,1,11,34,10,21,10,8,16,18,2,14,20,12,12,3,10,11,2,20
sp|O96553,DROME,FKL+19,C1TC,1,104,12,52,58,23,90,18,58,67,92,27,31,50,29,45,47,56,87,8,14
sp|Q960T2,DROME,FKL+19,SAP47,1,80,1,41,55,14,66,3,26,39,27,11,13,26,20,15,47,29,25,6,7
sp|Q7K2G1,DROME,FKL+19,ADRM1,1,26,3,28,21,14,35,5,10,22,28,14,20,23,27,20,48,17,22,2,4
sp|Q9VTF9,DROME,FKL+19,UFD1,1,23,5,18,24,19,27,7,14,24,24,10,17,14,7,13,22,16,24,1,7
tr|M9PB90,DROME,FKL+19,M9PB90,1,88,27,80,73,37,41,31,78,68,179,29,47,58,71,55,103,58,93,3,29
tr|Q9VFR2,DROME,FKL+19,Q9VFR2,1,66,5,144,113,22,67,17,52,54,71,8,44,57,31,39,35,32,45,7,21
tr|Q7K110,DROME,FKL+19,Q7K110,1,51,5,32,26,33,41,7,35,51,79,3,26,22,30,21,61,33,57,4,17
tr|Q9VZU4,DROME,FKL+19,Q9VZU4,1,30,4,16,18,12,10,7,6,15,24,3,10,21,10,20,10,10,26,3,10
tr|B6IDQ5,DROME,FKL+19,B6IDQ5,1,36,4,19,28,12,26,6,20,18,29,5,17,17,26,10,18,17,27,2,10
tr|Q9VHB1,DROME,FKL+19,Q9VHB1,1,20,1,3,2,6,10,4,9,9,12,3,4,18,10,4,12,5,13,4,5
tr|O62602,DROME,FKL+19,O62602,1,22,6,27,19,12,16,10,27,16,25,14,8,21,14,24,20,14,23,3,13
sp|P52295,DROME,FKL+19,IMA,1,43,5,32,33,14,28,8,36,29,55,13,35,22,36,22,33,29,36,6,7
tr|Q541C9,DROME,FKL+19,Q541C9,1,18,4,26,15,17,22,11,16,15,28,14,12,21,18,21,15,15,20,4,9
