Entry,Log2.ratio.Adult.Embryo,X.log10.BH.corrected.p.value.Adult.vs.Embryo,log10.mRNA.adult,log10.mRNA.embryo
Q9W374,1.435,7.322,3.635,2.328
Q9VMB9,2.524,3.968,4.882,5.088
Q7PLP4,1.262,2.202,1.924,2.797
C0MJA0,0.484,0.198,4.095,6.132
Q9V3Y7,2.011,9.186,5.587,-1.072
O61613,-1.684,5.268,2.486,2.743
Q9I7K5,-0.474,5.019,3.102,4.197
Q9VVW7,2.363,3.128,1.83,2.555
Q8SXM8,-1.97,9.085,2.268,3.127
Q9VGP4,-2.243,7.735,1.851,2.796
Q9VPF6,-1.005,7.843,2.294,2.709
Q9VFB2,1.811,0.595,1.596,2.96
Q9VF27,2.62,7.848,4.867,3.964
X2JDP6,1.651,4.105,3.787,4.239
Q9VVU2,-1.206,10.045,6.808,6.766
Q8MZ78,1.574,12.084,2.861,3.315
Q9V5C6,-1.676,6.888,4.154,4.091
Q9U5W8,1.588,7.311,4.726,2.647
Q9W5W8,-0.047,0.119,3.427,1.817
Q9VBG7,1.458,7.815,3.73,2.892
Q9VNW6,4.839,10.412,4.339,2.227
Q9W3F6,-1.192,10.038,2.888,3.586
Q9VPY2,-1.086,4.814,1.528,1.76
Q8SX76,-2.403,8.728,0.246,2.724
Q9VY05,2.77,11.814,4.934,2.718
P08985,-0.636,1.454,3.215,6.037
Q9VIB5,0.643,3.618,2.666,0.962
X2JF40,-1.253,6.21,4.022,3.182
Q0IGW6,1.003,1.065,-0.096,1.671
P35004,2.647,11.161,8.381,-0.267
A0A024E3A5,2.362,9.999,4.552,3.771
X2JAW6,1.013,5.997,2.76,3.725
Q7KN62,-1.659,9.59,3.841,3.865
X2J6D4,1.939,4.89,6.941,6.14
P40301,-1.613,6.36,4.131,4.084
Q7KK96,0.155,0.573,1.099,2.379
Q9VT25,2.998,12.69,6.575,1.104
Q9U916,-0.603,6.918,6.56,5.353
Q9V9Q4,-1.491,8.349,3.421,3.599
Q9VGE7,-0.31,1.604,0.717,2.253
P52029,1.347,14.044,4.967,3.4
Q9VAC4,-1.722,8.568,3.708,3.807
Q9VBE2,1.073,4.995,-4.923,5.01
Q9VD14,-0.274,3.874,1.242,2.506
Q8T8R1,-0.948,6.101,6.024,4.587
Q9VTB3,-0.288,3.57,2.218,3.478
P52304,-0.03,0.072,1.166,4.191
Q9VE85,0.04,0.163,0.562,2.433
Q9VRL0,2.922,10.394,5.366,4.573
Q2PDR9,0.6,1.73,1.91,3.318
