"accession","SGDID","associations"
"YJL137C","S000003673","C"
"YJL138C","S000003674","C"
"YJL139C","S000003675","G,A"
"YJL140W","S000003676","C,N"
"YJL141C","S000003677","C,N"
"YJL143W","S000003679","M,R"
"YJL144W","S000003680","C"
"YJL145W","S000003681","C,N,E"
"YJL146W","S000003682","C,N"
"YJL147C","S000003683","M"
"YJL148W","S000003684","N,U"
"YJL151C","S000003687","V"
"YJL153C","S000003689","C"
"YJL155C","S000003691","C"
"YJL157C","S000003693","C,N"
"YJL158C","S000003694","E,B,X"
"YJL159W","S000003695","X"
"YJL160C","S000003696","X"
"YJL161W","S000003697","M"
"YJL162C","S000003698","C,N"
"YJL164C","S000003700","C,N"
"YJL166W","S000003702","M,R"
"YJL167W","S000003703","C,E"
"YJL168C","S000003704","N"
"YJL170C","S000003706","P"
"YJL171C","S000003707","M"
"YJL172W","S000003708","V,O"
"YJL173C","S000003709","N"
"YJL174W","S000003710","X"
"YJL176C","S000003712","N"
"YJL177W","S000003713","C"
"YJL178C","S000003714","M,G,A"
"YJL179W","S000003715","C"
"YJL180C","S000003716","M"
"YJL183W","S000003719","G"
"YJL184W","S000003720","N"
"YJL186W","S000003722","G"
"YJL187C","S000003723","N,K"
"YJL189W","S000003725","C"
"YJL190C","S000003726","C"
"YJL191W","S000003727","C,N,U"
"YJL192C","S000003728","E,D"
"YJL194W","S000003730","C,N"
"YJL197W","S000003733","C,N"
"YJL198W","S000003734","P"
"YJL200C","S000003736","M"
"YJL201W","S000003737","C"
"YJL203W","S000003739","N"
"YJL204C","S000003740","C,G,K"
"YJL206C","S000003741","N"
"YJL207C","S000003743","G"
"YJL208C","S000003744","N,M"
"YJL209W","S000003745","M"
"YJL212C","S000003748","P"
"YJL214W","S000003750","P"
"YJL217W","S000003753","C"
"YJL219W","S000003755","P"
"YJL222W","S000003758","G"
"YJR001W","S000003761","V,O"
"YJR002W","S000003762","N,U"
"YJR003C","S000003763","M"
"YJR004C","S000003764","X"
"YJR006W","S000003766","N"
"YJR007W","S000003767","C"
"YJR008W","S000003768","C,N"
"YJR009C","S000003769","C,M"
"YJR010C-A","S000003770","E,D"
"YJR010W","S000003771","C,M"
"YJR013W","S000003774","E,D"
"YJR014W","S000003775","C"
"YJR015W","S000003776","C,E,D"
"YJR016C","S000003777","M"
"YJR017C","S000003778","C,N"
"YJR019C","S000003780","M"
"YJR021C","S000003782","N"
"YJR022W","S000003783","C,N,U"
"YJR024C","S000003785","C"
"YJR025C","S000003786","C,N"
"YJR026W","S000003787","C"
"YJR027W","S000003788","C,N"
"YJR028W","S000003789","C"
"YJR029W","S000003790","C,N"
"YJR031C","S000003792","C"
"YJR033C","S000003794","C"
"YJR034W","S000003795","M"
"YJR035W","S000003796","C,N"
"YJR036C","S000003797","N"
"YJR039W","S000003800","M"
"YJR040W","S000003801","E,G,V,P,D,O,A"
"YJR041C","S000003802","N,U"
"YJR042W","S000003803","N,L"
"YJR043C","S000003804","N"
"YJR045C","S000003806","N,M"
"YJR046W","S000003807","C,N"
"YJR047C","S000003808","C"
"YJR048W","S000003809","M"
"YJR049C","S000003810","C,N"
"YJR050W","S000003811","C,N"
"YJR051W","S000003812","C,M"
"YJR053W","S000003814","C"
"YJR054W","S000003815","V,O"
"YJR055W","S000003816","C,N"
"YJR056C","S000003817","C,N"
"YJR057W","S000003818","C,N"
"YJR059W","S000003820","C,N"
"YJR060W","S000003821","N,M"
"YJR062C","S000003823","M"
"YJR063W","S000003824","N,U"
"YJR064W","S000003825","C"
"YJR065C","S000003826","C"
"YJR066W","S000003827","C,N,V"
"YJR067C","S000003828","C,N"
"YJR068W","S000003829","N"
"YJR069C","S000003830","C,N"
"YJR070C","S000003831","C,N"
"YJR072C","S000003833","C"
"YJR073C","S000003834","M,E,D"
"YJR074W","S000003835","N"
"YJR075W","S000003836","G"
"YJR076C","S000003837","K"
"YJR077C","S000003838","M,R"
"YJR078W","S000003839","C"
"YJR080C","S000003841","M"
"YJR082C","S000003842","N"
"YJR084W","S000003844","C,N"
"YJR085C","S000003845","M"
"YJR086W","S000003846","C"
"YJR088C","S000003848","E"
"YJR089W","S000003849","C,N,M"
"YJR090C","S000003850","C,N"
"YJR092W","S000003852","K"
"YJR093C","S000003853","N"
"YJR094C","S000003854","N"
"YJR094W-A","S000003855","C"
"YJR095W","S000003856","M,R"
"YJR096W","S000003857","C,N"
"YJR097W","S000003858","C,N"
"YJR098C","S000003859","C,M"
"YJR099W","S000003860","C"
"YJR100C","S000003861","M"
"YJR101W","S000003862","M"
"YJR102C","S000003863","C"
"YJR103W","S000003864","C"
"YJR104C","S000003865","C,N,M"
"YJR105W","S000003866","C,N"
"YJR109C","S000003870","C"
"YJR110W","S000003871","C"
"YJR111C","S000003872","M"
"YJR112W","S000003873","N"
"YJR113C","S000003874","M"
"YJR117W","S000003878","E,D,T"
"YJR118C","S000003879","E,D"
"YJR119C","S000003880","C,N"
"YJR121W","S000003882","M,R"
"YJR122W","S000003883","M"
"YJR123W","S000003884","C"
"YJR125C","S000003886","C,G"
"YJR127C","S000003888","C,N"
"YJR129C","S000003890","C"
"YJR130C","S000003891","C,N"
"YJR131W","S000003892","E,D"
"YJR132W","S000003893","C,N"
"YJR133W","S000003894","C"
"YJR134C","S000003895","G"
"YJR135C","S000003896","N"
"YJR136C","S000003897","C,N"
"YJR137C","S000003898","C"
"YJR138W","S000003899","V"
"YJR139C","S000003900","C,N"
"YJR140C","S000003901","N"
"YJR143C","S000003904","E,D"
"YJR144W","S000003905","M"
"YJR145C","S000003906","C"
"YJR146W","S000003907","C,N"
"YJR147W","S000003908","C,N"
"YJR148W","S000003909","C,N"
"YJR149W","S000003910","C"
"YJR150C","S000003911","X"
"YJR151C","S000003912","X"
"YJR152W","S000003913","P"
"YJR153W","S000003914","X"
"YJR154W","S000003915","C"
"YJR158W","S000003919","P"
"YJR160C","S000003921","P"
"YLL001W","S000003924","M"
"YLL002W","S000003925","N"
"YLL003W","S000003926","C"
"YLL004W","S000003927","N"
"YLL006W","S000003929","M,E,D,T"
"YLL007C","S000003930","C"
"YLL008W","S000003931","N,U"
"YLL009C","S000003932","M"
"YLL011W","S000003934","N,U"
"YLL013C","S000003936","C,M"
"YLL014W","S000003937","E,D"
"YLL015W","S000003938","V,O"
"YLL018C","S000003941","C,N"
"YLL019C","S000003942","C,N"
"YLL021W","S000003944","K,B"
"YLL022C","S000003945","N"
"YLL023C","S000003946","N,E,D"
"YLL024C","S000003947","C,M,X"
"YLL026W","S000003949","C,N"
"YLL027W","S000003950","M"
"YLL028W","S000003951","P"
"YLL029W","S000003952","C"
"YLL031C","S000003954","E,D"
"YLL032C","S000003955","C"
"YLL034C","S000003957","N,U"
"YLL035W","S000003958","N,U"
"YLL036C","S000003959","C,N,M"
"YLL039C","S000003962","C,N"
"YLL040C","S000003963","M,G"
"YLL041C","S000003964","M"
"YLL042C","S000003965","C"
"YLL043W","S000003966","C,P"
"YLL045C","S000003968","C"
"YLL046C","S000003969","C"
"YLL048C","S000003971","V,O"
"YLL050C","S000003973","C,N"
"YLL051C","S000003974","V,O"
"YLL052C","S000003975","E,P,D"
"YLL054C","S000003977","N"
"YLL055W","S000003978","E,P,D"
"YLL060C","S000003983","M"
"YLL061W","S000003984","E,P"
"YLL062C","S000003985","C"
"YLR001C","S000003991","M,V,O"
"YLR002C","S000003992","N,U"
"YLR003C","S000003993","C,N"
"YLR004C","S000003994","E,P,D"
"YLR005W","S000003995","N"
"YLR006C","S000003996","C"
"YLR007W","S000003997","N"
"YLR008C","S000003998","M,R"
"YLR009W","S000003999","C,N,U"
"YLR010C","S000004000","N"
"YLR011W","S000004001","C,N"
"YLR013W","S000004003","N"
"YLR014C","S000004004","N"
"YLR015W","S000004005","N"
"YLR016C","S000004006","C,N"
"YLR017W","S000004007","C,N"
"YLR018C","S000004008","N,L"
"YLR020C","S000004010","P"
"YLR022C","S000004012","C,N"
"YLR023C","S000004013","E,D"
"YLR024C","S000004014","C"
"YLR025W","S000004015","C"
"YLR026C","S000004016","G,A"
"YLR027C","S000004017","C"
"YLR029C","S000004019","C"
"YLR032W","S000004022","C,N"
"YLR033W","S000004023","N"
"YLR034C","S000004024","E,V,D,O"
"YLR035C","S000004025","N"
"YLR037C","S000004027","X"
"YLR038C","S000004028","M"
"YLR039C","S000004029","N,G"
"YLR040C","S000004030","X"
"YLR042C","S000004032","X"
"YLR043C","S000004033","C,N,G"
"YLR044C","S000004034","C,N"
"YLR045C","S000004035","C"
"YLR048W","S000004038","C"
"YLR050C","S000004040","E,D"
"YLR051C","S000004041","N,U"
"YLR052W","S000004042","N"
"YLR054C","S000004044","C"
"YLR055C","S000004045","N"
"YLR056W","S000004046","E,D"
"YLR057W","S000004047","E,D"
"YLR058C","S000004048","C"
"YLR059C","S000004049","M"
"YLR060W","S000004050","C"
"YLR061W","S000004051","C"
"YLR063W","S000004053","C"
"YLR064W","S000004054","N,E,D"
"YLR066W","S000004056","E,D"
"YLR067C","S000004057","M,R"
"YLR068W","S000004058","N,U"
"YLR069C","S000004059","M"
"YLR071C","S000004061","N"
"YLR072W","S000004062","C"
"YLR074C","S000004064","C,N,E"
"YLR075W","S000004065","C"
"YLR077W","S000004067","M"
"YLR078C","S000004068","E,G,D,A"
"YLR079W","S000004069","C,N"
"YLR080W","S000004070","E,G,D,A"
"YLR081W","S000004071","P"
"YLR082C","S000004072","C,N"
"YLR084C","S000004074","M,K,B,P"
"YLR085C","S000004075","C,N"
"YLR086W","S000004076","C,N"
"YLR087C","S000004077","M"
"YLR088W","S000004078","E,D"
"YLR089C","S000004079","M"
"YLR090W","S000004080","N,M"
"YLR091W","S000004081","M"
"YLR092W","S000004082","P"
"YLR093C","S000004083","V,O"
"YLR094C","S000004084","C,N"
"YLR095C","S000004085","N"
"YLR096W","S000004086","C"
"YLR098C","S000004088","N"
"YLR100W","S000004090","E"
"YLR102C","S000004092","C,N"
"YLR103C","S000004093","N"
"YLR105C","S000004095","N,M"
"YLR106C","S000004096","N,M"
"YLR107W","S000004097","C,N"
"YLR108C","S000004098","N"
"YLR109W","S000004099","C"
"YLR110C","S000004100","B,X"
"YLR113W","S000004103","C,N"
"YLR114C","S000004104","C,B"
"YLR115W","S000004105","N"
"YLR116W","S000004106","N"
"YLR117C","S000004107","N"
"YLR118C","S000004108","C,N"
"YLR119W","S000004109","C"
"YLR126C","S000004116","C,N"
"YLR127C","S000004117","C,N"
"YLR129W","S000004119","N,U"
"YLR130C","S000004120","P"
"YLR131C","S000004121","C,N"
"YLR132C","S000004122","C,N,M"
"YLR133W","S000004123","C"
"YLR134W","S000004124","C,N"
"YLR135W","S000004125","C,N"
"YLR136C","S000004126","C,N"
"YLR138W","S000004128","P"
"YLR139C","S000004129","M,R"
"YLR141W","S000004131","N,U"
"YLR142W","S000004132","M"
"YLR143W","S000004133","C"
"YLR144C","S000004134","C"
"YLR145W","S000004135","C,N,U"
"YLR146C","S000004136","C"
"YLR147C","S000004137","C,N"
"YLR148W","S000004138","V"
"YLR150W","S000004140","C,N"
"YLR153C","S000004143","C,N,U"
"YLR154C","S000004144","C,N"
"YLR155C","S000004145","E,X"
"YLR157C","S000004147","X"
"YLR158C","S000004148","X"
"YLR160C","S000004150","X"
"YLR163C","S000004153","M"
"YLR164W","S000004154","M,R"
"YLR165C","S000004155","M"
"YLR166C","S000004156","C"
"YLR167W","S000004157","C,N"
"YLR168C","S000004158","M"
"YLR170C","S000004160","G"
"YLR172C","S000004162","C"
"YLR174W","S000004164","C"
"YLR175W","S000004165","C,N,U"
"YLR176C","S000004166","C,N"
"YLR177W","S000004167","C"
"YLR178C","S000004168","C"
"YLR179C","S000004169","C,N"
"YLR180W","S000004170","C"
"YLR181C","S000004171","C"
"YLR182W","S000004172","C,N"
"YLR183C","S000004173","C,N,M"
"YLR185W","S000004175","C"
"YLR186W","S000004176","C,N,U"
"YLR187W","S000004177","C,K,B"
"YLR188W","S000004178","M,R"
"YLR189C","S000004179","C"
"YLR190W","S000004180","M,K,B"
"YLR192C","S000004182","C"
"YLR193C","S000004183","M"
"YLR195C","S000004185","C"
"YLR196W","S000004186","C,N,U"
"YLR197W","S000004187","N,U"
"YLR199C","S000004189","C"
"YLR200W","S000004190","C,N"
"YLR201C","S000004191","M"
"YLR203C","S000004193","M"
"YLR204W","S000004194","M"
"YLR205C","S000004195","E,D"
"YLR206W","S000004196","C"
"YLR207W","S000004197","E,D"
"YLR208W","S000004198","N,E,V"
"YLR210W","S000004200","C,N"
"YLR211C","S000004201","C"
"YLR212C","S000004202","C"
"YLR214W","S000004204","P"
"YLR215C","S000004205","C"
"YLR216C","S000004206","C"
"YLR218C","S000004208","C,N,M"
"YLR220W","S000004210","G,V,O,A"
"YLR221C","S000004211","N,U"
"YLR222C","S000004212","N,U"
"YLR223C","S000004213","N,U"
"YLR225C","S000004215","C"
"YLR226W","S000004216","N"
"YLR227C","S000004217","C"
"YLR228C","S000004218","C,N"
"YLR229C","S000004219","K,B"
"YLR231C","S000004221","C,N"
"YLR233C","S000004223","N,U"
"YLR234W","S000004224","N"
"YLR237W","S000004227","P"
"YLR238W","S000004228","E"
"YLR239C","S000004229","C,M"
"YLR240W","S000004230","G"
"YLR242C","S000004232","E,G,D,A"
"YLR244C","S000004234","C"
"YLR245C","S000004235","C,N"
"YLR246W","S000004236","E,D"
"YLR247C","S000004237","N,M"
"YLR248W","S000004238","C"
"YLR249W","S000004239","C"
"YLR250W","S000004240","C"
"YLR251W","S000004241","M,R"
"YLR253W","S000004243","M"
"YLR254C","S000004244","C,N"
"YLR256W","S000004246","N"
"YLR257W","S000004247","C"
"YLR258W","S000004248","C,N"
"YLR259C","S000004249","C,M"
"YLR260W","S000004250","G"
"YLR262C","S000004252","G"
"YLR263W","S000004253","N"
"YLR264W","S000004254","C"
"YLR265C","S000004255","C,N,L"
"YLR266C","S000004256","C,N"
"YLR268W","S000004258","E,G,D,A"
"YLR270W","S000004260","C,N,M"
"YLR271W","S000004261","C,N"
"YLR272C","S000004262","N,U"
"YLR274W","S000004264","C,N"
"YLR275W","S000004265","N"
"YLR276C","S000004266","N,U"
"YLR277C","S000004267","N"
"YLR278C","S000004268","N"
"YLR281C","S000004271","M"
"YLR283W","S000004273","M"
"YLR285W","S000004275","C"
"YLR286C","S000004276","E,K,X"
"YLR287C","S000004277","C"
"YLR287C-A","S000004278","C"
"YLR288C","S000004279","N"
"YLR289W","S000004280","M"
"YLR290C","S000004281","M"
"YLR291C","S000004282","M"
"YLR292C","S000004283","C"
"YLR293C","S000004284","C,N"
"YLR295C","S000004286","M,R"
"YLR297W","S000004288","C,N,V,O"
"YLR298C","S000004289","N"
"YLR299W","S000004290","V,O"
"YLR300W","S000004291","X"
"YLR301W","S000004292","C,N"
"YLR303W","S000004294","C"
"YLR304C","S000004295","C,M"
"YLR305C","S000004296","M"
"YLR309C","S000004300","C,G"
"YLR310C","S000004301","C,N,P,D"
"YLR312W-A","S000004304","M"
"YLR313C","S000004305","C,K,B"
"YLR314C","S000004306","K"
"YLR315W","S000004307","N"
"YLR316C","S000004308","C,N"
"YLR318W","S000004310","N,U"
"YLR319C","S000004311","K,B"
"YLR320W","S000004312","N"
"YLR321C","S000004313","N"
"YLR323C","S000004315","N"
"YLR325C","S000004317","C"
"YLR327C","S000004319","C,N,M"
"YLR328W","S000004320","C,N"
"YLR329W","S000004321","N"
"YLR330W","S000004322","C,G"
"YLR332W","S000004324","P"
"YLR333C","S000004325","C"
"YLR335W","S000004327","N,M,L"
"YLR336C","S000004328","N,U"
"YLR337C","S000004329","C,K"
"YLR340W","S000004332","C"
"YLR341W","S000004333","C"
"YLR342W","S000004334","M,K,B,P"
"YLR343W","S000004335","C,P"
"YLR344W","S000004336","C"
"YLR345W","S000004337","C"
"YLR346C","S000004338","M"
"YLR347C","S000004339","C,N"
"YLR348C","S000004340","M,R"
"YLR350W","S000004342","E,D"
"YLR351C","S000004343","C,M"
"YLR353W","S000004345","B,P"
"YLR354C","S000004346","C,N"
"YLR355C","S000004347","M"
"YLR356W","S000004348","M"
"YLR357W","S000004349","N"
"YLR360W","S000004352","G"
"YLR361C","S000004353","C"
"YLR362W","S000004354","C"
"YLR363C","S000004355","C,N"
"YLR364W","S000004356","C"
"YLR367W","S000004359","C"
"YLR368W","S000004360","C,M"
"YLR369W","S000004361","M"
"YLR370C","S000004362","C,M"
"YLR371W","S000004363","B"
"YLR372W","S000004364","E"
"YLR373C","S000004365","N,P"
"YLR375W","S000004367","N"
"YLR376C","S000004368","C,N"
"YLR378C","S000004370","E,D"
"YLR380W","S000004372","C,M"
"YLR381W","S000004373","N"
"YLR382C","S000004374","M"
"YLR383W","S000004375","N,M"
"YLR384C","S000004376","C,N"
"YLR385C","S000004377","N"
"YLR386W","S000004378","V"
"YLR387C","S000004379","C"
"YLR388W","S000004380","C"
"YLR390W","S000004382","M"
"YLR392C","S000004384","C"
"YLR393W","S000004385","C,M"
"YLR394W","S000004386","N"
"YLR395C","S000004387","M,R"
"YLR396C","S000004388","V"
"YLR398C","S000004390","C"
"YLR399C","S000004391","N"
"YLR401C","S000004393","C,N"
"YLR403W","S000004395","C,N"
"YLR404W","S000004396","E,D"
"YLR406C","S000004398","C"
"YLR407W","S000004399","C"
"YLR409C","S000004401","N,U"
"YLR410W","S000004402","C"
"YLR412W","S000004404","C"
"YLR413W","S000004405","P"
"YLR414C","S000004406","C,P"
"YLR415C","S000004407","M"
"YLR417W","S000004409","C"
"YLR418C","S000004410","N"
"YLR419W","S000004411","C,M"
"YLR420W","S000004412","C,N"
"YLR421C","S000004413","C,N"
"YLR422W","S000004414","C"
"YLR423C","S000004415","C"
"YLR424W","S000004416","C,N,M"
"YLR425W","S000004417","K"
"YLR426W","S000004418","M"
"YLR427W","S000004419","C"
"YLR430W","S000004422","N"
"YLR431C","S000004423","C"
"YLR432W","S000004424","C"
"YLR433C","S000004425","C"
"YLR435W","S000004427","C,N"
"YLR436C","S000004428","C"
"YLR437C","S000004429","C,N"
"YLR438W","S000004430","C,N"
"YLR439W","S000004431","M"
"YLR440C","S000004432","E"
"YLR441C","S000004433","C"
"YLR442C","S000004434","N,M,U"
"YLR447C","S000004439","V,O"
"YLR448W","S000004440","C"
"YLR449W","S000004441","N,U"
"YLR450W","S000004442","N,E,D"
"YLR451W","S000004443","N"
"YLR453C","S000004445","N"
"YLR454W","S000004446","M"
"YLR455W","S000004447","N"
"YLR456W","S000004448","C,N"
"YLR459W","S000004451","E,D"
"YLR466W","S000004458","N"
"YLR467W","S000004459","N"
"YML001W","S000004460","V"
"YML004C","S000004463","C,N"
"YML005W","S000004464","C"
"YML006C","S000004465","C"
"YML007W","S000004466","C,N"
"YML008C","S000004467","M,E"
"YML009C","S000004468","M"
"YML010W","S000004470","N,M"
"YML011C","S000004472","N"
"YML012W","S000004473","E,G,D,A"
"YML013W","S000004475","E,D,T"
"YML014W","S000004476","C,N"
"YML015C","S000004477","N"
"YML016C","S000004478","C,N"
"YML017W","S000004479","C"
"YML018C","S000004480","V,O"
"YML019W","S000004481","E,D"
"YML021C","S000004483","N,M"
"YML022W","S000004484","C,N"
"YML023C","S000004485","N"
"YML024W","S000004486","C"
"YML025C","S000004487","M"
"YML026C","S000004488","C,M"
"YML027W","S000004489","C,N"
"YML028W","S000004490","C"
"YML029W","S000004491","D"
"YML030W","S000004492","M"
"YML031W","S000004493","C,N,L"
"YML032C","S000004494","N"
"YML034W","S000004497","N"
"YML035C","S000004498","C"
"YML036W","S000004500","N"
"YML038C","S000004502","G,A"
"YML039W","S000004503","C,N"
"YML040W","S000004504","C"
"YML041C","S000004505","N"
"YML042W","S000004506","M"
"YML043C","S000004507","N,U"
"YML045W","S000004508","C,N"
"YML046W","S000004509","N"
"YML047C","S000004510","B"
"YML048W","S000004511","C,E,D,T"
"YML049C","S000004513","N"
"YML051W","S000004515","C,N"
"YML052W","S000004516","M,P"
"YML053C","S000004517","C,N"
"YML054C","S000004518","M"
"YML055W","S000004519","E,D"
"YML056C","S000004520","C"
"YML057W","S000004521","C"
"YML058W","S000004523","C,N"
"YML059C","S000004524","E,D"
"YML060W","S000004525","N,M"
"YML061C","S000004526","N,M,U"
"YML062C","S000004527","N"
"YML063W","S000004528","C"
"YML065W","S000004530","N"
"YML066C","S000004531","C,E"
"YML067C","S000004532","E,G,D,A"
"YML069W","S000004534","N"
"YML070W","S000004535","C"
"YML071C","S000004536","G"
"YML072C","S000004537","M"
"YML073C","S000004538","C"
"YML074C","S000004539","N,U"
"YML075C","S000004540","N,E,D"
"YML076C","S000004541","N,M"
"YML077W","S000004542","E,G"
"YML078W","S000004543","M"
"YML079W","S000004544","C,N"
"YML080W","S000004545","N"
"YML081W","S000004546","N"
"YML082W","S000004547","C,N"
"YML085C","S000004550","C,N"
"YML086C","S000004551","M"
"YML088W","S000004553","C,N"
"YML091C","S000004556","N,M"
"YML092C","S000004557","C,N"
"YML093W","S000004558","N,U"
"YML094W","S000004559","C"
"YML095C","S000004560","N"
"YML096W","S000004562","C"
"YML097C","S000004563","C"
"YML098W","S000004564","N"
"YML099C","S000004565","C,N"
"YML100W","S000004566","C"
"YML101C","S000004568","C,E"
"YML102W","S000004570","N"
"YML103C","S000004571","N,L"
"YML104C","S000004572","C"
"YML105C","S000004573","C"
"YML106W","S000004574","C,N"
"YML107C","S000004575","N"
"YML108W","S000004576","C,N"
"YML109W","S000004577","C,N,K,B"
"YML110C","S000004578","M"
"YML111W","S000004579","C"
"YML112W","S000004580","C,N,U"
"YML113W","S000004581","N"
"YML114C","S000004582","N"
"YML115C","S000004583","E,G,D,A"
"YML116W","S000004584","V,P"
"YML117W","S000004585","C"
"YML120C","S000004589","M"
"YML121W","S000004590","C,N,V"
"YML124C","S000004593","C"
"YML125C","S000004594","E,P,D"
"YML126C","S000004595","N"
"YML127W","S000004596","N"
"YML128C","S000004597","M,E"
"YML129C","S000004598","M,R"
"YML130C","S000004599","E"
"YML131W","S000004600","C"
"YML132W","S000004601","P"
"YML133C","S000004602","M"
"YMR001C","S000004603","N,K"
"YMR002W","S000004604","C,N,M"
"YMR003W","S000004605","M"
"YMR004W","S000004606","C,N"
"YMR005W","S000004607","N"
"YMR006C","S000004608","X"
"YMR009W","S000004611","C,N"
"YMR010W","S000004612","C"
"YMR011W","S000004613","P"
"YMR012W","S000004614","C"
"YMR013C","S000004615","E,D"
"YMR014W","S000004616","N,U"
"YMR015C","S000004617","E"
"YMR016C","S000004618","N"
"YMR019W","S000004621","N"
"YMR020W","S000004622","C"
"YMR021C","S000004623","N"
"YMR022W","S000004624","E"
"YMR023C","S000004625","M"
"YMR024W","S000004626","M"
"YMR025W","S000004627","C,N"
"YMR027W","S000004629","C,N"
"YMR029C","S000004631","C,E"
"YMR030W","S000004632","C,N,M"
"YMR031C","S000004633","C,M"
"YMR032W","S000004635","C,K"
"YMR033W","S000004636","N"
"YMR035W","S000004638","M,R"
"YMR036C","S000004639","C,N"
"YMR037C","S000004640","C,N"
"YMR038C","S000004641","C,N,M"
"YMR039C","S000004642","N"
"YMR040W","S000004643","E,D"
"YMR042W","S000004645","N"
"YMR043W","S000004646","N"
"YMR044W","S000004647","N"
"YMR045C","S000004648","C,N"
"YMR046C","S000004649","C"
"YMR047C","S000004650","N,L"
"YMR048W","S000004651","C,N"
"YMR049C","S000004652","N,U"
"YMR050C","S000004653","C,N"
"YMR051C","S000004654","C"
"YMR052W","S000004656","E"
"YMR054W","S000004658","G,A"
"YMR055C","S000004659","C"
"YMR056C","S000004660","M,R"
"YMR058W","S000004662","P"
"YMR059W","S000004663","N,M"
"YMR060C","S000004664","M,T"
"YMR061W","S000004665","C,N,M"
"YMR062C","S000004666","M"
"YMR063W","S000004667","P"
"YMR064W","S000004668","M"
"YMR065W","S000004669","N,M,E,D,L"
"YMR066W","S000004670","M"
"YMR067C","S000004671","C,N"
"YMR068W","S000004672","C,V"
"YMR069W","S000004673","C,N"
"YMR070W","S000004674","N"
"YMR071C","S000004675","G,A"
"YMR072W","S000004676","N,M"
"YMR073C","S000004677","C"
"YMR074C","S000004678","C,N"
"YMR075W","S000004680","N"
"YMR076C","S000004681","N"
"YMR077C","S000004682","C,V"
"YMR078C","S000004683","N,M"
"YMR079W","S000004684","C,G"
"YMR080C","S000004685","C,N"
"YMR083W","S000004688","M"
"YMR086W","S000004692","C"
"YMR088C","S000004694","V,O"
"YMR089C","S000004695","C,M,R"
"YMR090W","S000004696","C"
"YMR091C","S000004697","N"
"YMR092C","S000004698","C,N"
"YMR093W","S000004699","N,U"
"YMR094W","S000004700","N"
"YMR095C","S000004701","C"
"YMR097C","S000004703","M"
"YMR098C","S000004704","M"
"YMR099C","S000004705","C,N"
"YMR100W","S000004706","C"
"YMR104C","S000004710","C,N"
"YMR105C","S000004711","C"
"YMR106C","S000004712","N"
"YMR108W","S000004714","M"
"YMR109W","S000004715","C"
"YMR110C","S000004716","M,T"
"YMR111C","S000004717","C,N"
"YMR112C","S000004718","N"
"YMR113W","S000004719","C"
"YMR114C","S000004720","C,N"
"YMR115W","S000004721","M,R"
"YMR116C","S000004722","C"
"YMR117C","S000004723","N"
"YMR118C","S000004724","M,R"
"YMR119W","S000004725","N,D"
"YMR121C","S000004728","C,N,U"
"YMR123W","S000004730","E,D"
"YMR124W","S000004731","C"
"YMR125W","S000004732","C,N"
"YMR127C","S000004734","C,N"
"YMR128W","S000004735","N,M,U"
"YMR129W","S000004736","N,M,L"
"YMR131C","S000004738","N,U"
"YMR132C","S000004739","C"
"YMR133W","S000004740","N"
"YMR134W","S000004741","C,E"
"YMR135C","S000004742","C,N"
"YMR136W","S000004744","N"
"YMR137C","S000004745","N"
"YMR138W","S000004746","C"
"YMR139W","S000004747","C"
"YMR140W","S000004748","C"
"YMR142C","S000004750","C"
"YMR143W","S000004751","C"
"YMR144W","S000004752","N"
"YMR145C","S000004753","M"
"YMR146C","S000004754","C"
"YMR149W","S000004757","E,D"
"YMR150C","S000004758","M,R"
"YMR152W","S000004760","C,M"
"YMR153W","S000004762","N,L"
"YMR156C","S000004765","N"
"YMR157C","S000004766","M"
"YMR158W","S000004767","M"
"YMR159C","S000004769","C,N"
"YMR161W","S000004771","E"
"YMR163C","S000004773","C"
"YMR164C","S000004774","C,N"
"YMR165C","S000004775","C,N,E,V"
"YMR166C","S000004776","M,R"
"YMR167W","S000004777","C,N,M"
"YMR168C","S000004778","N"
"YMR169C","S000004779","C"
"YMR170C","S000004780","C"
"YMR171C","S000004781","V,O"
"YMR172W","S000004783","N"
"YMR173W","S000004784","C"
"YMR174C","S000004786","C,N"
"YMR175W","S000004787","C"
"YMR176W","S000004788","C,N"
"YMR177W","S000004789","M"
"YMR178W","S000004790","C,N"
"YMR179W","S000004791","N"
"YMR180C","S000004792","C,N"
"YMR182C","S000004794","N"
"YMR183C","S000004795","C,E,P"
"YMR184W","S000004796","C"
"YMR186W","S000004798","C,M"
"YMR188C","S000004800","M"
"YMR189W","S000004801","M"
"YMR190C","S000004802","N,U"
"YMR192W","S000004804","C,M,K,B"
"YMR193W","S000004806","M"
"YMR194W","S000004807","C"
"YMR195W","S000004808","V"
"YMR196W","S000004809","C"
"YMR197C","S000004810","G,A"
"YMR198W","S000004811","C,N"
"YMR199W","S000004812","C,N"
"YMR200W","S000004813","E,D"
"YMR201C","S000004814","N"
"YMR202W","S000004815","E,D"
"YMR203W","S000004816","M,T"
"YMR205C","S000004818","C,M"
"YMR207C","S000004820","C,M"
"YMR208W","S000004821","C,N"
"YMR211W","S000004824","C,M"
"YMR212C","S000004825","M"
"YMR213W","S000004826","C,N"
"YMR214W","S000004827","E"
"YMR215W","S000004828","P,X"
"YMR216C","S000004829","C"
"YMR217W","S000004830","C"
"YMR218C","S000004831","G"
