"accession","SGDID","associations"
"YHR067W","S000001109","M"
"YHR068W","S000001110","C"
"YHR069C","S000001111","C,N,U"
"YHR070W","S000001112","C,N,M"
"YHR071W","S000001113","N"
"YHR072W","S000001114","E"
"YHR073W","S000001115","C"
"YHR074W","S000001116","C,N"
"YHR076W","S000001118","M"
"YHR077C","S000001119","C"
"YHR079C","S000001121","N,E,D"
"YHR080C","S000001122","M"
"YHR081W","S000001123","N"
"YHR082C","S000001124","C,N"
"YHR083W","S000001125","M"
"YHR084W","S000001126","N"
"YHR085W","S000001127","N"
"YHR086W","S000001128","M"
"YHR087W","S000001129","C,N"
"YHR088W","S000001130","N,U"
"YHR089C","S000001131","N,U"
"YHR090C","S000001132","N"
"YHR091C","S000001133","C,M"
"YHR092C","S000001134","P"
"YHR094C","S000001136","P"
"YHR096C","S000001138","P"
"YHR097C","S000001139","C,N"
"YHR098C","S000001140","C,E,G"
"YHR099W","S000001141","N"
"YHR100C","S000001142","M"
"YHR101C","S000001143","E,D"
"YHR102W","S000001144","C"
"YHR103W","S000001145","C,G"
"YHR104W","S000001146","C,N"
"YHR106W","S000001148","C,M"
"YHR107C","S000001149","C,K"
"YHR108W","S000001150","G"
"YHR109W","S000001151","C"
"YHR110W","S000001152","E,D"
"YHR111W","S000001153","C"
"YHR112C","S000001154","C,N"
"YHR113W","S000001155","C,V"
"YHR114W","S000001156","C"
"YHR115C","S000001157","C"
"YHR116W","S000001158","C,M"
"YHR117W","S000001159","M,T"
"YHR118C","S000001160","N"
"YHR119W","S000001161","N"
"YHR120W","S000001162","M"
"YHR121W","S000001163","C,N"
"YHR122W","S000001164","C,N"
"YHR123W","S000001165","G,A"
"YHR124W","S000001166","N"
"YHR127W","S000001169","N"
"YHR129C","S000001171","C"
"YHR131C","S000001173","C"
"YHR132C","S000001174","V"
"YHR133C","S000001175","N,E,D"
"YHR134W","S000001176","N"
"YHR135C","S000001177","M,E"
"YHR136C","S000001178","C"
"YHR137W","S000001179","C,N"
"YHR140W","S000001182","C,E,D"
"YHR141C","S000001183","C"
"YHR142W","S000001184","E,K,B,D"
"YHR143W-A","S000001185","C,N,U"
"YHR143W","S000001186","X"
"YHR144C","S000001187","C"
"YHR146W","S000001189","N"
