Name,Run,BioSample,SampleName,Disease
IBD,SRR6505500,SAMN08388816,C108CP_16S,CD
IBD,SRR6505499,SAMN08388817,C108F_16S,CD
IBD,SRR6505494,SAMN08388818,C108IP_16S,CD
IBD,SRR6505493,SAMN08388819,C109F_16S,CD
IBD,SRR6505496,SAMN08388820,C109IP_16S,CD
IBD,SRR6505495,SAMN08388821,C109RP_16S,CD
IBD,SRR6505504,SAMN08388822,C110CP_16S,CD
IBD,SRR6505503,SAMN08388823,C110F_16S,CD
IBD,SRR6505535,SAMN08388830,C112RN_16S,CD
IBD,SRR6505505,SAMN08388844,C116F_16S,CD
IBD,SRR6505490,SAMN08388848,C117IN_16S,CD
IBD,SRR6505506,SAMN08388857,C119RN_16S,CD
IBD,SRR6505511,SAMN08388861,C121CP_16S,CD
IBD,SRR6505532,SAMN08388869,C123RN_16S,CD
IBD,SRR6505492,SAMN08388871,C124IP_16S,CD
IBD,SRR6505501,SAMN08388878,C126IP_16S,CD
IBD,SRR6505491,SAMN08388881,C127IP_16S,CD
IBD,SRR6505525,SAMN08388914,C237F_16S,CD
IBD,SRR6505524,SAMN08388915,C237IN_16S,CD
IBD,SRR6505527,SAMN08388916,C237RN_16S,CD
IBD,SRR6505526,SAMN08388917,C238AP_16S,CD
IBD,SRR6505529,SAMN08388918,C238F_16S,CD
IBD,SRR6505528,SAMN08388919,C238RN_16S,CD
IBD,SRR6505531,SAMN08388920,C239F_16S,CD
IBD,SRR6505530,SAMN08388921,C239IN_16S,CD
IBD,SRR6505521,SAMN08388922,C239RP_16S,CD
IBD,SRR6505520,SAMN08388923,C240F_16S,CD
IBD,SRR6505484,SAMN08388924,C240IP_16S,CD
IBD,SRR6505485,SAMN08388925,C240RN_16S,CD
IBD,SRR6505482,SAMN08388926,C241F_16S,CD
IBD,SRR6505483,SAMN08388927,C241IP_16S,CD
IBD,SRR6505488,SAMN08388928,C241RN_16S,CD
IBD,SRR6505489,SAMN08388929,C242F_16S,CD
IBD,SRR6505486,SAMN08388930,C242IP_16S,CD
IBD,SRR6505487,SAMN08388931,C242RN_16S,CD
IBD,SRR6505480,SAMN08388932,C243F_16S,CD
IBD,SRR6505481,SAMN08388933,C243IP_16S,CD
IBD,SRR6505477,SAMN08389024,U103DP_16S,UC
IBD,SRR6505476,SAMN08389025,U103F_16S,UC
IBD,SRR6505479,SAMN08389026,U103IN_16S,UC
IBD,SRR6505478,SAMN08389027,U103RP_16S,UC
IBD,SRR6505512,SAMN08389034,U106F_16S,UC
IBD,SRR6505513,SAMN08389035,U106IN_16S,UC
IBD,SRR6505514,SAMN08389036,U106RP_16S,UC
IBD,SRR6505515,SAMN08389037,U106TN_16S,UC
IBD,SRR6505519,SAMN08389041,U108CP_16S,UC
IBD,SRR6505507,SAMN08389042,U108F_16S,UC
IBD,SRR6505508,SAMN08389043,U108IN_16S,UC
IBD,SRR6505502,SAMN08389083,U121IN_16S,UC
IBD,SRR6505533,SAMN08389112,U230F_16S,UC
IBD,SRR6505534,SAMN08389113,U230IN_16S,UC
IBD,SRR6505523,SAMN08389114,U230RP_16S,UC
IBD,SRR6505522,SAMN08389115,U231F_16S,UC
IBD,SRR6505541,SAMN08388824,C110IP_16S,CD
IBD,SRR6505542,SAMN08388825,C111DP_16S,CD
IBD,SRR6505539,SAMN08388826,C111F_16S,CD
IBD,SRR6505540,SAMN08388827,C111IN_16S,CD
IBD,SRR6505537,SAMN08388828,C112F_16S,CD
IBD,SRR6505538,SAMN08388829,C112IP_16S,CD
IBD,SRR6505536,SAMN08388831,C112SP_16S,CD
IBD,SRR6505544,SAMN08388832,C113AP_16S,CD
IBD,SRR6505545,SAMN08388833,C113F_16S,CD
IBD,SRR6505579,SAMN08388834,C113IN_16S,CD
IBD,SRR6505578,SAMN08388835,C113RP_16S,CD
IBD,SRR6505577,SAMN08388836,C114CP_16S,CD
IBD,SRR6505576,SAMN08388837,C114F_16S,CD
IBD,SRR6505583,SAMN08388838,C114IP_16S,CD
IBD,SRR6505582,SAMN08388839,C114RN_16S,CD
IBD,SRR6505581,SAMN08388840,C115AP_16S,CD
IBD,SRR6505580,SAMN08388841,C115F_16S,CD
IBD,SRR6505586,SAMN08388842,C115IN_16S,CD
IBD,SRR6505585,SAMN08388843,C115RP_16S,CD
IBD,SRR6505588,SAMN08388849,C117IP_16S,CD
IBD,SRR6505587,SAMN08388868,C123F_16S,CD
IBD,SRR6505563,SAMN08388874,C125IP_16S,CD
IBD,SRR6505543,SAMN08388879,C126RN_16S,CD
IBD,SRR6505562,SAMN08388886,C128TP_16S,CD
IBD,SRR6505584,SAMN08388892,C130IP_16S,CD
IBD,SRR6505572,SAMN08388944,C247IP_16S,CD
IBD,SRR6505573,SAMN08388945,C248F_16S,CD
IBD,SRR6505574,SAMN08388946,C248IP_16S,CD
IBD,SRR6505575,SAMN08388947,C248RN_16S,CD
IBD,SRR6505568,SAMN08388948,C249F_16S,CD
IBD,SRR6505569,SAMN08388949,C249IP_16S,CD
IBD,SRR6505570,SAMN08388950,C249RN_16S,CD
