Protein_ID,"Phylostratum (ps)",Tax_ID,"Phylostratum name"
AQZ89229.2,1,131567,"root : Cellular_organisms"
AQZ89230.1,2,2,"Cellular_organisms : Bacteria"
AQZ89231.1,2,2,"Cellular_organisms : Bacteria"
AQZ89232.1,1,131567,"root : Cellular_organisms"
AQZ89233.1,1,131567,"root : Cellular_organisms"
AQZ89234.1,1,131567,"root : Cellular_organisms"
AQZ89235.1,1,131567,"root : Cellular_organisms"
AQZ89236.1,1,131567,"root : Cellular_organisms"
AQZ89237.1,1,131567,"root : Cellular_organisms"
AQZ89238.1,1,131567,"root : Cellular_organisms"
AQZ89239.1,1,131567,"root : Cellular_organisms"
AQZ89240.1,1,131567,"root : Cellular_organisms"
AQZ89241.1,1,131567,"root : Cellular_organisms"
AQZ89242.1,2,2,"Cellular_organisms : Bacteria"
AQZ89243.1,11,4000023,"Bacillus_subtilis_node : Bacillus_subtilis_subsp_subtilis"
AQZ89244.1,1,131567,"root : Cellular_organisms"
AQZ89245.1,1,131567,"root : Cellular_organisms"
AQZ89246.1,1,131567,"root : Cellular_organisms"
AQZ89247.1,2,2,"Cellular_organisms : Bacteria"
AQZ89248.1,4,1239,"Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter : Firmicutes"
AQZ89249.1,1,131567,"root : Cellular_organisms"
AQZ89250.1,4,4000013,"Firmicutes : Bacilli/Erysioperotrichia/Tenericutes"
AQZ89251.1,1,131567,"root : Cellular_organisms"
AQZ89252.1,1,131567,"root : Cellular_organisms"
AQZ89253.1,1,131567,"root : Cellular_organisms"
AQZ89254.1,1,131567,"root : Cellular_organisms"
AQZ89255.1,1,131567,"root : Cellular_organisms"
AQZ89256.1,1,131567,"root : Cellular_organisms"
AQZ89257.1,1,131567,"root : Cellular_organisms"
AQZ89258.1,1,131567,"root : Cellular_organisms"
AQZ89259.1,1,131567,"root : Cellular_organisms"
AQZ89260.1,4,1239,"Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter : Firmicutes"
AQZ89261.1,1,131567,"root : Cellular_organisms"
AQZ89262.1,1,131567,"root : Cellular_organisms"
AQZ89263.1,1,131567,"root : Cellular_organisms"
AQZ89264.1,2,2,"Cellular_organisms : Bacteria"
AQZ89265.1,1,131567,"root : Cellular_organisms"
AQZ89266.1,1,131567,"root : Cellular_organisms"
AQZ89267.1,1,131567,"root : Cellular_organisms"
AQZ89268.1,1,131567,"root : Cellular_organisms"
AQZ89269.1,1,131567,"root : Cellular_organisms"
AQZ89270.1,1,131567,"root : Cellular_organisms"
AQZ89271.1,2,2,"Cellular_organisms : Bacteria"
AQZ89272.1,3,4000010,"Bacteria : Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter"
AQZ89273.1,1,131567,"root : Cellular_organisms"
AQZ89274.1,1,131567,"root : Cellular_organisms"
AQZ89275.1,2,2,"Cellular_organisms : Bacteria"
AQZ89276.1,7,4000016,"Bacillales : Bacillaceae/Planococcaceae"
AQZ89277.1,4,1239,"Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter : Firmicutes"
AQZ89278.1,4,1239,"Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter : Firmicutes"
AQZ89279.1,4,1239,"Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter : Firmicutes"
AQZ89280.1,1,131567,"root : Cellular_organisms"
AQZ89281.1,2,2,"Cellular_organisms : Bacteria"
AQZ89282.1,1,131567,"root : Cellular_organisms"
AQZ89283.1,1,131567,"root : Cellular_organisms"
AQZ89284.1,1,131567,"root : Cellular_organisms"
AQZ89285.1,8,55087,"Anoxybacillus/Parageobacillus/Geobacillus : Bacillus"
AQZ89288.1,1,131567,"root : Cellular_organisms"
AQZ89289.1,1,131567,"root : Cellular_organisms"
AQZ89290.1,1,131567,"root : Cellular_organisms"
AQZ89291.1,1,131567,"root : Cellular_organisms"
AQZ89292.1,1,131567,"root : Cellular_organisms"
AQZ89293.1,1,131567,"root : Cellular_organisms"
AQZ89294.1,1,131567,"root : Cellular_organisms"
AQZ89295.1,1,131567,"root : Cellular_organisms"
AQZ89296.1,1,131567,"root : Cellular_organisms"
AQZ89297.1,1,131567,"root : Cellular_organisms"
AQZ89298.1,1,131567,"root : Cellular_organisms"
AQZ89299.1,3,4000010,"Bacteria : Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter"
AQZ89300.1,1,131567,"root : Cellular_organisms"
AQZ89301.1,1,131567,"root : Cellular_organisms"
AQZ89302.1,1,131567,"root : Cellular_organisms"
AQZ89303.1,2,2,"Cellular_organisms : Bacteria"
AQZ89304.1,7,4000016,"Bacillales : Bacillaceae/Planococcaceae"
AQZ89305.1,2,2,"Cellular_organisms : Bacteria"
AQZ89306.1,1,131567,"root : Cellular_organisms"
AQZ89307.1,1,131567,"root : Cellular_organisms"
AQZ89308.1,1,131567,"root : Cellular_organisms"
AQZ89309.1,1,131567,"root : Cellular_organisms"
AQZ89310.1,1,131567,"root : Cellular_organisms"
AQZ89311.1,1,131567,"root : Cellular_organisms"
AQZ89312.1,9,653685,"Bacillus : Bacillus_subtilis_group"
AQZ89313.1,1,131567,"root : Cellular_organisms"
AQZ89314.1,1,131567,"root : Cellular_organisms"
AQZ89315.1,2,2,"Cellular_organisms : Bacteria"
AQZ89316.1,1,131567,"root : Cellular_organisms"
AQZ89317.1,1,131567,"root : Cellular_organisms"
AQZ89318.1,2,2,"Cellular_organisms : Bacteria"
AQZ89319.1,8,55087,"Anoxybacillus/Parageobacillus/Geobacillus : Bacillus"
AQZ89320.1,2,2,"Cellular_organisms : Bacteria"
AQZ89321.1,1,131567,"root : Cellular_organisms"
AQZ89322.1,1,131567,"root : Cellular_organisms"
