seed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
55,-70.765,-70.655,-70.463,-70.463,-70.435,-70.38,-70.463,-70.463,-70.682,-70.6,-71.122,-70.655,-70.545,-70.216,-70.243,-70.49
56,-70.38,-70.243,-69.859,-69.831,-69.831,-69.749,-69.914,-69.831,-70.271,-70.078,-71.039,-70.298,-70.106,-69.529,-69.722,-69.886
57,-70.847,-70.71,-70.408,-70.38,-70.38,-70.325,-70.463,-70.408,-70.737,-70.6,-71.451,-70.765,-70.627,-70.161,-70.325,-70.435
58,-71.176,-71.012,-70.682,-70.655,-70.655,-70.573,-70.737,-70.655,-71.039,-70.875,-71.835,-71.067,-70.902,-70.408,-70.573,-70.71
59,-70.216,-70.216,-69.914,-69.831,-69.859,-69.804,-69.969,-69.886,-70.216,-70.078,-70.765,-70.298,-70.161,-69.639,-69.831,-69.914
60,-70.051,-69.914,-69.612,-69.612,-69.612,-69.529,-69.639,-69.612,-69.941,-69.804,-70.545,-69.941,-69.776,-69.365,-69.42,-69.639
61,-70.655,-70.518,-70.216,-70.188,-70.188,-70.133,-70.271,-70.216,-70.545,-70.408,-71.176,-70.545,-70.408,-69.969,-70.078,-70.243
62,-70.545,-70.408,-70.078,-70.024,-70.024,-69.969,-70.106,-70.051,-70.435,-70.271,-71.204,-70.463,-70.298,-69.776,-69.941,-70.078
63,-71.094,-70.902,-70.682,-70.682,-70.655,-70.6,-70.682,-70.682,-70.929,-70.847,-71.506,-70.929,-70.792,-70.435,-70.49,-70.71
64,-70.38,-70.243,-69.776,-69.749,-69.749,-69.667,-69.859,-69.776,-70.271,-70.051,-71.231,-70.298,-70.106,-69.447,-69.667,-69.831
65,-71.122,-70.957,-70.71,-70.71,-70.71,-70.627,-70.737,-70.71,-70.984,-70.875,-71.561,-70.957,-70.82,-70.49,-70.545,-70.737
66,-70.463,-70.161,-69.749,-69.749,-69.722,-69.612,-69.776,-69.749,-70.188,-70.024,-71.122,-70.161,-69.941,-69.365,-69.475,-69.776
67,-70.545,-70.49,-70.243,-70.216,-70.216,-70.161,-70.271,-70.243,-70.518,-70.38,-71.012,-70.545,-70.408,-70.024,-70.106,-70.271
68,-70.051,-69.969,-69.667,-69.639,-69.639,-69.584,-69.722,-69.667,-69.996,-69.859,-70.545,-70.024,-69.886,-69.447,-69.612,-69.694
69,-70.71,-70.545,-70.216,-70.188,-70.188,-70.106,-70.271,-70.216,-70.573,-70.435,-71.231,-70.573,-70.435,-69.941,-70.106,-70.243
70,-70.353,-70.051,-69.584,-69.584,-69.557,-69.447,-69.639,-69.584,-70.106,-69.914,-71.176,-70.078,-69.831,-69.2,-69.31,-69.639
71,-70.545,-70.38,-69.969,-69.914,-69.914,-69.831,-70.024,-69.941,-70.408,-70.216,-71.286,-70.435,-70.216,-69.612,-69.776,-69.996
72,-70.875,-70.792,-70.6,-70.6,-70.6,-70.518,-70.627,-70.6,-70.82,-70.737,-71.231,-70.792,-70.682,-70.38,-70.408,-70.627
73,-70.792,-70.573,-70.243,-70.243,-70.216,-70.133,-70.271,-70.243,-70.6,-70.463,-71.451,-70.6,-70.408,-69.941,-70.024,-70.271
74,-70.627,-70.573,-70.38,-70.38,-70.38,-70.325,-70.408,-70.38,-70.6,-70.49,-71.012,-70.627,-70.518,-70.216,-70.298,-70.408
75,-71.231,-71.067,-70.875,-70.875,-70.875,-70.792,-70.875,-70.875,-71.094,-71.012,-71.561,-71.067,-70.957,-70.655,-70.682,-70.902
76,-71.012,-70.682,-70.435,-70.49,-70.435,-70.325,-70.435,-70.463,-70.737,-70.682,-71.314,-70.627,-70.463,-70.106,-70.051,-70.49
77,-70.188,-69.996,-69.722,-69.749,-69.722,-69.639,-69.749,-69.722,-70.024,-69.941,-70.573,-69.996,-69.831,-69.42,-69.447,-69.749
